speech_id,erdogan1,erdogan2022,erdogan2023,erdogan2024,erdogan2025,macron2022,macron2023,macron2024,macron2025,merkel1,merkel2,merkel2020,merkel3,putin2022,putin2023,putin2024,putin2025,trump1,trump2,trump3
erdogan1,1.0,0.83620787,0.8470168,0.8157966,0.80782664,0.83586276,0.803388,0.82565516,0.81613314,0.81788003,0.81669754,0.8133216,0.8387236,0.7307723,0.7179697,0.66798365,0.7162948,0.7710032,0.65419626,0.7932645
erdogan2022,0.83620787,1.0,0.94400835,0.93725955,0.9221965,0.91057765,0.90860957,0.9034469,0.8892716,0.8786297,0.8576171,0.86764985,0.86569583,0.8211858,0.7978613,0.7841923,0.7843377,0.8457475,0.7619058,0.8417795
erdogan2023,0.8470168,0.94400835,1.0,0.93543696,0.9313925,0.91246957,0.8962815,0.90790886,0.9050996,0.9032643,0.8827332,0.88506615,0.89364,0.8500919,0.8183849,0.78534377,0.8227555,0.84859157,0.75392467,0.87320656
erdogan2024,0.8157966,0.93725955,0.93543696,1.0,0.96685296,0.90732867,0.9137476,0.9069052,0.9014465,0.8667979,0.8610444,0.8672169,0.875931,0.85299987,0.8284237,0.81410366,0.81672513,0.8379284,0.76920474,0.84001625
erdogan2025,0.80782664,0.9221965,0.9313925,0.96685296,1.0,0.90376824,0.89652336,0.8997887,0.8989425,0.8692725,0.8583606,0.8725908,0.8730853,0.8512975,0.81829345,0.7857911,0.80838406,0.84477454,0.7801356,0.8469581
macron2022,0.83586276,0.91057765,0.91246957,0.90732867,0.90376824,0.99999994,0.9613532,0.9679344,0.9683064,0.89910084,0.910781,0.92385983,0.9221884,0.85370004,0.832528,0.7993242,0.8280745,0.86713564,0.78674126,0.8771951
macron2023,0.803388,0.90860957,0.8962817,0.9137476,0.8965232,0.961353,0.9999999,0.96305966,0.9418237,0.8804262,0.8850992,0.8925726,0.88928145,0.84038675,0.8324795,0.8101063,0.82011396,0.84216475,0.76908916,0.8552449
macron2024,0.8256552,0.90344685,0.907909,0.90690506,0.89978874,0.9679345,0.96305966,1.0,0.95632195,0.90207636,0.90689886,0.9152939,0.91569567,0.8483653,0.8237227,0.8000831,0.81479555,0.86208296,0.76785254,0.87319547
macron2025,0.8161334,0.8892716,0.90509963,0.9014467,0.89894253,0.96830636,0.9418237,0.95632195,1.0,0.898199,0.9150114,0.91564465,0.9197139,0.85911906,0.8290101,0.7926703,0.8263087,0.85408807,0.7649514,0.86899966
merkel1,0.81788015,0.87862974,0.90326405,0.866798,0.8692727,0.8991011,0.8804262,0.90207636,0.898199,1.0,0.93857855,0.9262753,0.9269889,0.83294773,0.7929057,0.7490665,0.78638285,0.8297657,0.74902356,0.85039556
merkel2,0.8166974,0.8576172,0.8827334,0.8610444,0.8583605,0.91078097,0.8850992,0.90689886,0.9150114,0.93857855,1.0,0.9451243,0.93519664,0.8129853,0.80189264,0.7596559,0.7930117,0.8195033,0.74174905,0.85439044
merkel2020,0.8133217,0.86765,0.885066,0.8672166,0.8725909,0.92385995,0.8925726,0.9152939,0.91564465,0.9262753,0.9451243,1.0,0.9512568,0.82906634,0.8077772,0.77180743,0.8047032,0.8430402,0.7600002,0.8592994
merkel3,0.8387236,0.86569583,0.89364,0.875931,0.8730853,0.9221884,0.8892814,0.91569567,0.9197139,0.92698896,0.935197,0.95125675,1.0,0.832857,0.8053855,0.76394224,0.8069262,0.8358193,0.73295736,0.8495339
putin2022,0.7307723,0.8211858,0.8500919,0.85299987,0.8512975,0.85370004,0.8403866,0.8483652,0.85911924,0.8329476,0.8129853,0.8290664,0.832857,0.9999999,0.9348188,0.91324425,0.93968517,0.83308333,0.7326774,0.8369188
putin2023,0.7179697,0.7978613,0.8183849,0.8284237,0.81829345,0.832528,0.83247936,0.8237227,0.82901025,0.7929059,0.80189264,0.80777705,0.8053855,0.9348188,1.0,0.9390681,0.9397538,0.8091963,0.7183971,0.81298983
putin2024,0.66798365,0.7841923,0.78534377,0.81410366,0.7857911,0.7993242,0.8101063,0.80008316,0.79267037,0.7490666,0.75965595,0.7718073,0.76394224,0.91324425,0.9390681,0.9999999,0.9293534,0.76330733,0.67686486,0.77139217
putin2025,0.7162948,0.78433776,0.82275563,0.8167253,0.808384,0.8280743,0.8201138,0.8147954,0.8263086,0.786383,0.79301167,0.8047033,0.80692625,0.9396852,0.93975395,0.9293535,1.0,0.79156864,0.6908759,0.8165305
trump1,0.771003,0.8457475,0.8485915,0.83792835,0.8447747,0.8671354,0.84216475,0.86208284,0.85408807,0.8297657,0.8195034,0.8430401,0.8358195,0.83308315,0.8091964,0.7633074,0.79156864,1.0,0.86436325,0.94481224
trump2,0.6541964,0.7619059,0.7539246,0.7692046,0.7801356,0.78674126,0.769089,0.7678527,0.7649515,0.7490235,0.74174917,0.7600003,0.73295736,0.7326774,0.7183971,0.676865,0.6908759,0.86436325,1.0,0.8454049
trump3,0.7932647,0.84177935,0.8732064,0.8400162,0.8469582,0.877195,0.8552449,0.8731958,0.8689997,0.8503958,0.8543904,0.85929954,0.8495338,0.83691883,0.81299,0.7713921,0.8165305,0.94481224,0.8454049,0.9999997
