speech_id,erdogan1,erdogan2022,erdogan2023,erdogan2024,erdogan2025,macron2022,macron2023,macron2024,macron2025,merkel1,merkel2,merkel2020,merkel3,putin2022,putin2023,putin2024,putin2025,trump1,trump2,trump3
erdogan1,0.99999994,0.83286923,0.8435181,0.8056553,0.79795384,0.8278538,0.7953385,0.8205683,0.811795,0.81348747,0.81212556,0.80595034,0.8357988,0.7319556,0.73444235,0.68209606,0.7254107,0.7703803,0.61263186,0.783249
erdogan2022,0.83286923,1.0,0.9410421,0.9325486,0.9109589,0.90714115,0.9073961,0.9005333,0.8828439,0.8758973,0.84871024,0.85942197,0.85852814,0.81582737,0.80918,0.78889173,0.7861633,0.8403666,0.7359944,0.83379763
erdogan2023,0.8435181,0.9410421,1.0,0.9353212,0.9282048,0.912339,0.89663374,0.9099379,0.90583885,0.9009882,0.87627316,0.8827712,0.88455284,0.8561541,0.8411062,0.80030537,0.8352426,0.8507191,0.72056985,0.86958605
erdogan2024,0.8056553,0.9325486,0.9353212,1.0,0.95992124,0.9061489,0.9146274,0.9074869,0.8956313,0.86225194,0.8467503,0.85658103,0.8686271,0.8556591,0.8442931,0.81955886,0.8221517,0.83896136,0.76541495,0.8345506
erdogan2025,0.79795384,0.9109589,0.9282048,0.95992124,1.0,0.90003836,0.8922384,0.89841473,0.893568,0.8644705,0.8439095,0.8655026,0.8624648,0.8522304,0.83018756,0.7879256,0.8065529,0.8429509,0.7751505,0.83807737
macron2022,0.8278538,0.90714115,0.912339,0.9061489,0.90003836,1.0,0.9608789,0.9661313,0.9668355,0.8943236,0.8998094,0.9187566,0.9125233,0.8576442,0.85175216,0.8099799,0.83868814,0.86576694,0.7434253,0.8720938
macron2023,0.7953385,0.9073961,0.89663386,0.9146276,0.8922384,0.96087885,1.0,0.9622481,0.9365616,0.87711495,0.874768,0.88475686,0.8817176,0.84367603,0.84697855,0.8224687,0.8282493,0.842515,0.73879516,0.8544854
macron2024,0.8205687,0.9005334,0.90993804,0.907487,0.89841485,0.9661313,0.9622481,1.0,0.95261043,0.89976174,0.89935243,0.91058755,0.90620893,0.8547292,0.84478176,0.8136016,0.8282913,0.8629832,0.72905236,0.87189734
macron2025,0.8117952,0.8828441,0.9058389,0.8956314,0.89356816,0.9668354,0.9365616,0.95261043,1.0,0.89784503,0.9028233,0.91348314,0.911748,0.8647688,0.8459964,0.7970524,0.8348502,0.8567964,0.7394262,0.86578417
merkel1,0.8134873,0.87589735,0.9009882,0.8622522,0.86447036,0.8943236,0.87711495,0.89976174,0.89784503,1.0,0.9324137,0.9244137,0.91605294,0.83511287,0.80893767,0.76268226,0.7954124,0.82759285,0.71922493,0.8399467
merkel2,0.8121256,0.8487101,0.87627316,0.8467505,0.8439095,0.8998095,0.874768,0.89935243,0.9028233,0.9324137,1.0,0.93813634,0.916996,0.8062457,0.8099539,0.7576501,0.78862745,0.8129989,0.71287596,0.8431391
merkel2020,0.8059504,0.8594218,0.882771,0.8565807,0.86550266,0.91875637,0.88475686,0.91058755,0.91348314,0.9244137,0.93813634,0.99999994,0.9395702,0.8292246,0.81931555,0.77722824,0.8071242,0.8427555,0.73369014,0.84970623
merkel3,0.8357988,0.85852814,0.88455284,0.8686271,0.8624648,0.9125233,0.8817177,0.906209,0.9117479,0.9160527,0.9169962,0.93956995,1.0,0.82458377,0.8115424,0.7642815,0.80473053,0.8246858,0.7047534,0.8329272
putin2022,0.7319556,0.81582737,0.8561541,0.8556591,0.8522304,0.8576442,0.84367603,0.85472906,0.8647688,0.83511305,0.80624574,0.82922465,0.82458377,1.0,0.9337075,0.90898484,0.933488,0.84341323,0.71055555,0.8435934
putin2023,0.73444235,0.80918,0.8411062,0.8442931,0.83018756,0.85175216,0.84697855,0.84478176,0.8459965,0.8089377,0.80995405,0.8193158,0.8115424,0.9337075,1.0,0.92402714,0.9293174,0.8442462,0.7056873,0.84417355
putin2024,0.68209606,0.78889173,0.80030537,0.81955886,0.7879256,0.8099799,0.82246894,0.8136015,0.79705244,0.7626823,0.75765,0.77722836,0.7642815,0.90898484,0.92402714,0.99999994,0.9246402,0.78321815,0.65434194,0.79070646
putin2025,0.72541076,0.7861634,0.83524245,0.82215166,0.80655307,0.83868814,0.8282493,0.8282912,0.8348502,0.7954122,0.78862745,0.80712426,0.8047304,0.933488,0.92931724,0.92463994,1.0,0.8098485,0.6661566,0.8352841
trump1,0.7703802,0.84036636,0.85071903,0.8389611,0.8429504,0.865767,0.8425151,0.8629832,0.8567964,0.82759297,0.8129989,0.8427554,0.8246857,0.84341323,0.8442464,0.783218,0.8098485,1.0,0.8075845,0.9445185
trump2,0.6126316,0.73599434,0.7205698,0.7654151,0.7751507,0.743425,0.7387949,0.72905266,0.7394261,0.719225,0.71287596,0.7336902,0.70475346,0.71055573,0.70568746,0.6543421,0.6661566,0.8075845,1.0,0.7916812
trump3,0.7832489,0.8337977,0.869586,0.8345504,0.8380774,0.8720938,0.8544854,0.8718972,0.8657841,0.8399464,0.84313905,0.8497063,0.8329273,0.8435935,0.8441736,0.7907064,0.8352841,0.9445185,0.7916812,1.0
