speech_id,erdogan1,erdogan2022,erdogan2023,erdogan2024,erdogan2025,macron2022,macron2023,macron2024,macron2025,merkel1,merkel2,merkel2020,merkel3,putin2022,putin2023,putin2024,putin2025,trump1,trump2,trump3
erdogan1,1.0,0.7404589,0.74897826,0.6930659,0.70373845,0.6630187,0.6269409,0.6529946,0.6429578,0.6451378,0.6349713,0.63905597,0.6487176,0.5650713,0.60418195,0.56561905,0.52682877,0.65356106,0.5699049,0.6411449
erdogan2022,0.7404589,1.0,0.90222806,0.89514565,0.90058565,0.74927133,0.7410283,0.7421519,0.71212554,0.6931732,0.66174257,0.67164356,0.6897918,0.6995153,0.6958499,0.69913733,0.63627106,0.68331677,0.6213459,0.64693415
erdogan2023,0.74897826,0.90222806,1.0,0.9205156,0.9121961,0.80074686,0.765358,0.7857857,0.7929903,0.7660608,0.7384849,0.7530915,0.76124716,0.77343714,0.7823528,0.76604444,0.74865913,0.727231,0.66984814,0.7369472
erdogan2024,0.6930659,0.89514565,0.9205156,1.0,0.9571723,0.78732955,0.77182895,0.7727058,0.7841447,0.7220679,0.69260967,0.7070173,0.73240435,0.76985276,0.75867003,0.76090515,0.72540003,0.69189256,0.6615275,0.68224627
erdogan2025,0.70373845,0.90058565,0.9121961,0.9571723,1.0,0.7770895,0.75131315,0.7568457,0.76453376,0.72196436,0.6892642,0.70597774,0.7297163,0.75728166,0.73907435,0.7267354,0.6941481,0.6947502,0.66299284,0.66414434
macron2022,0.6630187,0.74927133,0.80074686,0.78732955,0.7770895,0.99999994,0.9556356,0.9539251,0.9565067,0.79825515,0.812642,0.8339674,0.8263271,0.7539211,0.7688037,0.7456661,0.7153576,0.73071057,0.6717212,0.72238594
macron2023,0.6269409,0.7410283,0.765358,0.77182895,0.75131315,0.9556356,1.0,0.9612058,0.9262403,0.7644758,0.7569272,0.7837088,0.77871877,0.7278209,0.74254936,0.7397708,0.68065846,0.7057297,0.6530113,0.6923855
macron2024,0.6529946,0.7421519,0.7857857,0.7727058,0.7568457,0.9539251,0.9612058,1.0,0.9417738,0.78759754,0.78673536,0.80763376,0.8121243,0.7236391,0.7411461,0.73913383,0.6850311,0.7216912,0.65954155,0.7151568
macron2025,0.6429577,0.71212566,0.7929903,0.7841446,0.76453364,0.95650667,0.9262403,0.9417737,0.99999994,0.795026,0.80542445,0.8186489,0.82966405,0.74937904,0.7579658,0.73274344,0.7164284,0.7211704,0.67284256,0.71776557
merkel1,0.6451378,0.6931733,0.76606077,0.7220679,0.72196424,0.7982553,0.7644759,0.78759766,0.795026,0.99999994,0.89472395,0.8903177,0.90669996,0.70392734,0.712734,0.6714342,0.64732796,0.6941979,0.662913,0.6786468
merkel2,0.6349713,0.66174257,0.7384849,0.69260967,0.6892642,0.812642,0.7569272,0.78673536,0.8054246,0.8947238,0.99999994,0.9353954,0.9079835,0.67571205,0.727697,0.67271453,0.6612452,0.67991817,0.6282394,0.68418527
merkel2020,0.63905597,0.67164356,0.7530915,0.7070173,0.70597774,0.8339674,0.7837088,0.80763376,0.81864876,0.89031756,0.9353954,0.99999994,0.92673314,0.6890343,0.7263135,0.6957611,0.6650657,0.7044104,0.6474164,0.69802254
merkel3,0.6487176,0.6897918,0.76124716,0.73240435,0.7297163,0.8263271,0.77871877,0.8121243,0.8296642,0.9066999,0.9079835,0.92673314,1.0,0.7129174,0.7238715,0.6842178,0.670733,0.6993222,0.6280685,0.6769374
putin2022,0.5650713,0.6995153,0.77343714,0.76985276,0.75728166,0.7539211,0.7278209,0.7236391,0.74937904,0.7039272,0.67571205,0.6890343,0.7129174,1.0,0.9244441,0.9139248,0.9217342,0.70533204,0.6398662,0.6756748
putin2023,0.60418195,0.6958499,0.7823528,0.75867003,0.73907435,0.7688037,0.74254936,0.7411461,0.75796586,0.712734,0.727697,0.7263135,0.7238715,0.9244441,1.0,0.9289724,0.92066485,0.72198665,0.6383042,0.70783466
putin2024,0.56561905,0.69913733,0.76604444,0.76090515,0.7267354,0.7456661,0.7397708,0.73913383,0.73274344,0.6714342,0.67271453,0.6957611,0.6842178,0.9139248,0.9289724,1.0,0.9313471,0.69764006,0.624167,0.6911905
putin2025,0.52682877,0.6362711,0.74865913,0.7253999,0.6941481,0.71535754,0.68065846,0.6850311,0.7164284,0.6473279,0.66124535,0.66506565,0.670733,0.9217341,0.920665,0.931347,1.0,0.6527713,0.58884466,0.6677529
trump1,0.65356106,0.6833167,0.7272311,0.69189256,0.6947502,0.73071057,0.7057296,0.72169125,0.7211704,0.694198,0.6799183,0.7044104,0.69932234,0.7053321,0.72198665,0.69764006,0.6527713,1.0,0.8319399,0.91658956
trump2,0.5699049,0.6213459,0.66984814,0.6615275,0.66299284,0.6717212,0.6530113,0.65954155,0.67284256,0.662913,0.6282394,0.6474164,0.6280685,0.6398662,0.6383042,0.624167,0.58884466,0.8319399,1.0,0.827527
trump3,0.6411449,0.64693415,0.7369472,0.68224627,0.66414434,0.72238594,0.6923855,0.7151568,0.71776557,0.6786468,0.68418527,0.69802254,0.6769374,0.6756748,0.70783466,0.6911905,0.6677529,0.91658956,0.827527,1.0
