speech_id,erdogan1,erdogan2022,erdogan2023,erdogan2024,erdogan2025,macron2022,macron2023,macron2024,macron2025,merkel1,merkel2,merkel2020,merkel3,putin2022,putin2023,putin2024,putin2025,trump1,trump2,trump3
erdogan1,1.0,0.68515164,0.7006064,0.67255205,0.66604924,0.6901082,0.6544484,0.6716894,0.6717963,0.63325596,0.62143975,0.6436265,0.67861694,0.5548455,0.56831956,0.54236907,0.5188017,0.64653736,0.5487674,0.6585476
erdogan2022,0.68515164,1.0,0.8679858,0.8636028,0.8493238,0.7793095,0.772721,0.76111287,0.74926496,0.69206107,0.68240494,0.703108,0.71655405,0.6853878,0.6677086,0.67374146,0.60614204,0.7218251,0.640951,0.70074904
erdogan2023,0.7006064,0.8679858,1.0,0.89053434,0.859998,0.8118792,0.77366346,0.7920068,0.8058352,0.76460457,0.7493433,0.78677815,0.80090034,0.75947154,0.7535617,0.72907805,0.71405375,0.7375144,0.63923395,0.76652724
erdogan2024,0.67255205,0.8636028,0.89053434,1.0,0.9374908,0.8134749,0.8013671,0.79493046,0.81410766,0.7484263,0.7458007,0.7722155,0.7793246,0.7761489,0.7571723,0.7696788,0.73006874,0.747078,0.68281007,0.7558958
erdogan2025,0.6660492,0.8493239,0.8599979,0.93749064,0.99999994,0.79919815,0.77716124,0.76862794,0.78691846,0.72402066,0.7162009,0.7480245,0.7602217,0.74927545,0.7132727,0.7025979,0.6709385,0.73797864,0.6815113,0.7349277
macron2022,0.69010806,0.77930963,0.8118793,0.8134749,0.79919815,1.0,0.9425671,0.9257741,0.943651,0.777186,0.8317845,0.8583674,0.8510621,0.7704013,0.76207113,0.7194481,0.7165254,0.786325,0.70380104,0.7992475
macron2023,0.6544483,0.77272105,0.7736637,0.80136716,0.77716124,0.9425671,1.0,0.9375875,0.9177473,0.73469275,0.77051955,0.8023877,0.7979826,0.7405608,0.73977673,0.7145331,0.68729514,0.7616061,0.6973436,0.768005
macron2024,0.6716894,0.76111287,0.7920068,0.79493046,0.768628,0.92577386,0.93758726,1.0,0.916382,0.76243275,0.79557544,0.8282456,0.8267403,0.72090757,0.72187155,0.7162308,0.66959655,0.7464743,0.65488935,0.7562745
macron2025,0.6717963,0.74926496,0.8058352,0.81410766,0.7869185,0.94365096,0.9177473,0.916382,1.0,0.77292436,0.8259826,0.8524308,0.856745,0.7745022,0.75343674,0.72232616,0.7263661,0.7810379,0.7046989,0.8000068
merkel1,0.63325596,0.69206107,0.76460457,0.7484263,0.72402066,0.7771861,0.73469275,0.76243275,0.77292436,1.0,0.8669333,0.85526663,0.8538176,0.7156341,0.6863683,0.6150146,0.63548106,0.6969565,0.6210213,0.6973223
merkel2,0.62143975,0.68240494,0.7493433,0.7458007,0.7162008,0.83178437,0.7705196,0.79557544,0.8259826,0.8669333,1.0,0.91091865,0.8841418,0.7094001,0.7261579,0.6587264,0.6796192,0.71652275,0.65625715,0.7409521
merkel2020,0.6436266,0.7031081,0.78677815,0.7722155,0.7480245,0.8583674,0.8023877,0.8282455,0.85243076,0.8552667,0.9109187,1.0,0.9097057,0.7332077,0.7314343,0.69803107,0.7070639,0.7318239,0.6642282,0.75334454
merkel3,0.678617,0.7165539,0.8009003,0.7793245,0.7602217,0.8510621,0.7979826,0.82674015,0.85674495,0.85381734,0.8841419,0.9097057,1.0,0.7498879,0.736334,0.6886929,0.7041617,0.75083756,0.65028447,0.75115556
putin2022,0.55484545,0.6853878,0.7594713,0.7761488,0.74927545,0.7704013,0.7405608,0.7209075,0.7745023,0.7156341,0.70939994,0.7332077,0.7498879,1.0,0.9143804,0.8626035,0.8966318,0.73126614,0.63300997,0.7297626
putin2023,0.56831956,0.6677086,0.7535616,0.7571723,0.7132727,0.76207113,0.73977673,0.72187155,0.75343674,0.6863683,0.72615796,0.7314343,0.736334,0.9143804,1.0,0.8976245,0.922597,0.7239593,0.6252338,0.7368028
putin2024,0.5423691,0.67374146,0.72907794,0.7696786,0.7025979,0.7194481,0.7145331,0.71623063,0.72232604,0.6150147,0.65872645,0.69803107,0.6886929,0.8626035,0.8976245,1.0,0.902138,0.6831355,0.6043981,0.6986515
putin2025,0.5188017,0.60614204,0.71405375,0.73006874,0.6709385,0.7165254,0.68729514,0.66959655,0.7263661,0.63548106,0.6796192,0.7070639,0.7041617,0.8966318,0.922597,0.902138,1.0,0.6769662,0.5996684,0.71781063
trump1,0.64653736,0.7218251,0.7375144,0.747078,0.73797864,0.786325,0.7616061,0.7464743,0.7810379,0.6969565,0.71652275,0.7318239,0.75083756,0.73126614,0.7239593,0.6831355,0.6769662,1.0,0.8327596,0.9214787
trump2,0.5487674,0.640951,0.63923395,0.68281007,0.6815113,0.70380104,0.6973436,0.65488935,0.7046989,0.6210213,0.65625715,0.6642282,0.65028447,0.63300997,0.6252338,0.6043981,0.5996684,0.8327596,1.0,0.8183726
trump3,0.6585476,0.70074904,0.76652724,0.7558958,0.7349277,0.7992475,0.768005,0.7562745,0.8000068,0.6973223,0.7409521,0.75334454,0.75115556,0.7297626,0.7368028,0.6986515,0.71781063,0.9214787,0.8183726,1.0
