speech_id,erdogan1,erdogan2022,erdogan2023,erdogan2024,erdogan2025,macron2022,macron2023,macron2024,macron2025,merkel1,merkel2,merkel2020,merkel3,putin2022,putin2023,putin2024,putin2025,trump1,trump2,trump3
erdogan1,1.0,0.6982338,0.71375644,0.67792827,0.66935706,0.6936718,0.66479635,0.6829522,0.68289864,0.6445218,0.62526774,0.64094716,0.6872571,0.57368374,0.600389,0.5641833,0.5386724,0.6663764,0.5363139,0.6667046
erdogan2022,0.6982338,1.0,0.8525572,0.8595339,0.8468648,0.77577376,0.77869505,0.7627803,0.7458119,0.681841,0.67957896,0.67976016,0.70567024,0.6811875,0.6801268,0.6700419,0.6018179,0.71766293,0.65847653,0.6933144
erdogan2023,0.71375644,0.8525572,1.0,0.883097,0.85486627,0.8092338,0.776708,0.79420793,0.8093447,0.7574365,0.74357706,0.7711242,0.7780273,0.7623084,0.77188104,0.7269917,0.7246233,0.7405936,0.65367806,0.7679143
erdogan2024,0.67792827,0.8595339,0.883097,1.0,0.9382323,0.81419164,0.8118414,0.8007946,0.81288123,0.7351234,0.7345243,0.7459287,0.7625744,0.7788516,0.77053696,0.7598213,0.7300029,0.7487667,0.70756984,0.75372773
erdogan2025,0.66935706,0.8468648,0.8548663,0.9382323,0.9999999,0.800647,0.7872154,0.7730154,0.7878952,0.7179775,0.71289593,0.72928905,0.7513288,0.75445145,0.7333639,0.70190465,0.6759323,0.7381543,0.70828867,0.73067445
macron2022,0.6936719,0.77577364,0.80923384,0.81419146,0.800647,1.0,0.9452648,0.92627656,0.943812,0.7594137,0.8281702,0.8477955,0.83841914,0.771761,0.77510285,0.72556174,0.72483003,0.78625786,0.6956983,0.7940246
macron2023,0.6647962,0.778695,0.77670795,0.81184137,0.7872154,0.9452648,0.99999994,0.9338677,0.91750115,0.7258942,0.7727498,0.7974779,0.7968854,0.75071514,0.757458,0.7333276,0.70287335,0.77575946,0.6952331,0.77652013
macron2024,0.6829522,0.7627803,0.79420793,0.8007946,0.77301526,0.9262763,0.9338677,1.0,0.9118704,0.7521345,0.7949678,0.82183534,0.8217277,0.7269098,0.7377343,0.7176276,0.6777153,0.74914384,0.64997137,0.7511675
macron2025,0.68289864,0.7458119,0.8093447,0.81288123,0.78789514,0.9438121,0.9175013,0.9118704,1.0,0.7595637,0.8234766,0.84301233,0.85302025,0.77819526,0.76864505,0.728184,0.73313963,0.7903794,0.70058364,0.8018246
merkel1,0.6445218,0.681841,0.7574365,0.7351234,0.7179775,0.7594137,0.7258944,0.7521345,0.7595637,1.0,0.8428009,0.8345151,0.8283372,0.7043098,0.6820557,0.60059065,0.6141174,0.6847152,0.63540274,0.67406154
merkel2,0.62526774,0.67957896,0.74357706,0.7345243,0.712896,0.82817006,0.77274966,0.7949678,0.8234766,0.8428009,1.0,0.9028454,0.86309016,0.70090526,0.7277955,0.6434178,0.6687699,0.7089238,0.6461056,0.72491276
merkel2020,0.64094734,0.6797601,0.7711242,0.7459288,0.72928905,0.8477955,0.7974779,0.82183546,0.8430124,0.8345151,0.9028453,0.9999998,0.8861746,0.7129564,0.72747904,0.6787242,0.6877852,0.7155679,0.63483703,0.7276042
merkel3,0.6872571,0.70567024,0.77802724,0.7625743,0.7513288,0.83841914,0.7968854,0.82172775,0.85302013,0.82833713,0.8630902,0.8861746,0.99999994,0.736958,0.72973907,0.6710222,0.67907596,0.7446781,0.63526607,0.73217803
putin2022,0.57368374,0.68118757,0.7623085,0.7788515,0.75445145,0.771761,0.75071514,0.72690994,0.77819514,0.7043099,0.7009053,0.7129564,0.736958,1.0,0.90891004,0.876865,0.89010465,0.73707956,0.61298317,0.7279924
putin2023,0.60038894,0.6801268,0.77188104,0.7705369,0.7333639,0.77510285,0.757458,0.7377343,0.7686451,0.6820557,0.72779536,0.72747904,0.72973907,0.90891004,1.0,0.9002109,0.91676027,0.7437944,0.5886073,0.7471317
putin2024,0.5641833,0.67004186,0.7269916,0.7598213,0.70190465,0.72556174,0.7333276,0.7176275,0.72818404,0.6005907,0.64341784,0.6787242,0.6710222,0.876865,0.9002109,1.0,0.90783364,0.6993997,0.57558995,0.7059773
putin2025,0.5386724,0.6018179,0.7246233,0.7300029,0.6759323,0.72483003,0.70287335,0.6777153,0.73313963,0.6141174,0.6687699,0.6877852,0.67907596,0.89010465,0.91676027,0.90783364,1.0,0.69534135,0.5612952,0.73050475
trump1,0.6663764,0.71766293,0.7405936,0.7487667,0.7381543,0.78625786,0.77575946,0.74914384,0.7903794,0.6847152,0.7089238,0.7155679,0.7446781,0.73707956,0.7437944,0.6993997,0.69534135,1.0,0.7691146,0.91817516
trump2,0.5363139,0.65847653,0.65367806,0.70756984,0.70828867,0.6956983,0.6952331,0.64997137,0.70058364,0.63540274,0.6461056,0.63483703,0.63526607,0.61298317,0.5886073,0.57558995,0.5612952,0.7691146,1.0,0.75276923
trump3,0.6667046,0.6933144,0.7679143,0.75372773,0.73067445,0.7940246,0.77652013,0.7511675,0.8018246,0.67406154,0.72491276,0.7276042,0.73217803,0.7279924,0.7471317,0.7059773,0.73050475,0.91817516,0.75276923,1.0
