leader_a,leader_b,style_distance,style_cosine,ci_low,ci_high,share_closest_pair,rank
erdogan,macron,1.45351871859381,0.4191227832495681,1.153394341468811,3.835139513015747,0.5835,1
erdogan,merkel,1.9550286779549353,-0.2076442010229947,1.6484473943710327,4.092177867889404,0.0965,2
macron,merkel,2.072620111837064,-0.1982114871041057,1.6490809917449951,3.533482074737549,0.2885,3
merkel,trump,2.599725619513689,0.12196093429794189,2.3725481033325195,5.966068267822266,0.0285,4
erdogan,trump,3.081206088161209,-0.31865330056670266,2.8657875061035156,6.288584232330322,0.0015,5
merkel,putin,3.171048838013721,-0.3441041876327416,2.949864625930786,4.484084606170654,0.0,6
macron,trump,3.29531774870565,-0.4189263303470973,3.023923635482788,6.125060558319092,0.0,7
erdogan,putin,3.359820909176611,-0.5303736415233438,2.639385223388672,5.602254867553711,0.001,8
macron,putin,3.3745065788978708,-0.42576180706552363,3.2767105102539062,4.016563892364502,0.0005,9
putin,trump,4.0677963645106,-0.3503106387656758,3.83626127243042,6.606022357940674,0.0,10
