leader_a,leader_b,style_distance,style_cosine,ci_low,ci_high,share_closest_pair,rank
erdogan,macron,1.4218945031669725,0.4882095380647241,1.0746607780456543,4.0058064460754395,0.7015,1
erdogan,merkel,2.062782814668855,0.09152164538532487,1.8242263793945312,4.2031683921813965,0.1135,2
macron,merkel,2.3596962434799806,-0.07137942490874993,1.9280470609664917,3.836127281188965,0.17,3
macron,putin,3.4931640863680893,-0.37963276421577424,3.357160806655884,4.074501037597656,0.001,4
erdogan,trump,3.571396098417473,-0.38152890190452404,2.871135711669922,6.410425186157227,0.008,5
erdogan,putin,3.6152079488201903,-0.639785986235834,2.6640610694885254,6.0899577140808105,0.0015,6
merkel,trump,3.7001320148084216,-0.2522181621338956,2.9223780632019043,6.344402313232422,0.0045,7
merkel,putin,3.766278841078099,-0.4634880637702045,3.3102762699127197,5.150515079498291,0.0,8
macron,trump,3.8801227308178183,-0.5388476072441638,3.335449457168579,6.0928263664245605,0.0,9
putin,trump,4.108024862496359,-0.11030198084226356,3.471484899520874,6.186491012573242,0.0,10
