leader_a,leader_b,style_distance,style_cosine,ci_low,ci_high,share_closest_pair,rank
erdogan,macron,1.5384823482416667,0.4734020716081872,0.9425724148750305,3.372276782989502,0.6135,1
erdogan,merkel,1.8662660582321422,0.4540449998067161,1.6803160905838013,3.988290309906006,0.0905,2
macron,merkel,2.059380409062164,0.13835855924242127,1.4141110181808472,4.217707633972168,0.294,3
macron,putin,3.34763125879569,-0.3702049554868869,2.992110252380371,4.255648136138916,0.0015,4
putin,trump,3.8666489816753673,0.1792207352248696,3.079603672027588,5.8104939460754395,0.0005,5
macron,trump,4.058117603334018,-0.578875549207134,3.3023698329925537,5.875452041625977,0.0,6
erdogan,putin,4.102785269041087,-0.6986480880413963,2.861698865890503,6.247138977050781,0.0,7
merkel,putin,4.223117451991202,-0.6749997938663673,3.352259874343872,6.304485321044922,0.0,8
merkel,trump,4.454992268445479,-0.4668142306253939,3.45516300201416,6.5888800621032715,0.0,9
erdogan,trump,4.565566851369808,-0.657195471501257,3.530322551727295,6.6906256675720215,0.0,10
