dimension,dimension_label,kind,leader,leader_name,rank,value,z_value,ci_low,ci_high,share_rank1,n_speeches,corpus_mean,corpus_sd
conflict_threat_framing,Conflict / Threat Framing,rhetorical,trump,Trump,1,0.5447609710550886,0.4098664059128841,0.3513333201408386,0.7742353081703186,0.4805,3,0.4906192772274737,0.13209595381945644
conflict_threat_framing,Conflict / Threat Framing,rhetorical,putin,Putin,2,0.5090272727272727,0.13935321232441622,0.4375999867916107,0.5909818410873413,0.2025,4,0.4906192772274737,0.13209595381945644
conflict_threat_framing,Conflict / Threat Framing,rhetorical,erdogan,Erdoğan,3,0.48994695970695973,-0.005089614791933222,0.34008410573005676,0.6530783772468567,0.197,5,0.4906192772274737,0.13209595381945644
conflict_threat_framing,Conflict / Threat Framing,rhetorical,merkel,Merkel,4,0.4852444444444445,-0.040688852516825774,0.39275556802749634,0.5777333378791809,0.1145,4,0.4906192772274737,0.13209595381945644
conflict_threat_framing,Conflict / Threat Framing,rhetorical,macron,Macron,5,0.43782024104063577,-0.39970214575233387,0.36788487434387207,0.49718233942985535,0.0055,4,0.4906192772274737,0.13209595381945644
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,merkel,Merkel,1,0.6123555555555555,0.6780678840934042,0.5426333546638489,0.7066333293914795,0.6645,4,0.49991405254732657,0.16582632159104013
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,putin,Putin,2,0.5643969696969697,0.3888581531023192,0.42669999599456787,0.6515095233917236,0.2565,4,0.49991405254732657,0.16582632159104013
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,macron,Macron,3,0.4728090324636377,-0.1634542684395732,0.37124013900756836,0.5315527319908142,0.0,4,0.49991405254732657,0.16582632159104013
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,erdogan,Erdoğan,4,0.43450388278388274,-0.39444986257825815,0.27194109559059143,0.6062727570533752,0.023,5,0.49991405254732657,0.16582632159104013
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,trump,Trump,5,0.409171802054155,-0.5472125873777721,0.15266667306423187,0.6787058711051941,0.056,3,0.49991405254732657,0.16582632159104013
past_orientation,Past Orientation,rhetorical,putin,Putin,1,0.6178424242424243,0.9426251376102316,0.5638099908828735,0.6895999908447266,0.8805,4,0.4948613992076609,0.13046652388938842
past_orientation,Past Orientation,rhetorical,erdogan,Erdoğan,2,0.5280776556776556,0.2545960103770069,0.37586668133735657,0.6401538848876953,0.1195,5,0.4948613992076609,0.13046652388938842
past_orientation,Past Orientation,rhetorical,macron,Macron,3,0.48538001387014545,-0.07267293597516224,0.4214245080947876,0.5493355393409729,0.0,4,0.4948613992076609,0.13046652388938842
past_orientation,Past Orientation,rhetorical,trump,Trump,4,0.43755368814192347,-0.43925222622106364,0.27533334493637085,0.5268571376800537,0.0,3,0.4948613992076609,0.13046652388938842
past_orientation,Past Orientation,rhetorical,merkel,Merkel,5,0.38282222222222223,-0.8587580449405342,0.30684444308280945,0.46619999408721924,0.0,4,0.4948613992076609,0.13046652388938842
future_orientation,Future Orientation,rhetorical,macron,Macron,1,0.5711374550157444,0.4979551573618749,0.5497075915336609,0.5925673246383667,0.4545,4,0.4976375878997163,0.1476033856249715
future_orientation,Future Orientation,rhetorical,putin,Putin,2,0.5464515151515151,0.33071007853318857,0.44225454330444336,0.6496000289916992,0.274,4,0.4976375878997163,0.1476033856249715
future_orientation,Future Orientation,rhetorical,erdogan,Erdoğan,3,0.5150134798534798,0.11772014496951937,0.33272212743759155,0.6674344539642334,0.251,5,0.4976375878997163,0.1476033856249715
future_orientation,Future Orientation,rhetorical,merkel,Merkel,4,0.4483111111111111,-0.33418255671948605,0.37860000133514404,0.5254999995231628,0.0,4,0.4976375878997163,0.1476033856249715
