dimension,dimension_label,kind,leader,leader_name,rank,value,z_value,ci_low,ci_high,share_rank1,n_speeches,corpus_mean,corpus_sd
conflict_threat_framing,Conflict / Threat Framing,rhetorical,trump,Trump,1,0.7042994946071429,1.3154677839756779,0.5106257200241089,0.80888432264328,0.946,3,0.508023754056844,0.14920604133466786
conflict_threat_framing,Conflict / Threat Framing,rhetorical,putin,Putin,2,0.5178750282765151,0.06602463366463068,0.4555785059928894,0.5995961427688599,0.0215,4,0.508023754056844,0.14920604133466786
conflict_threat_framing,Conflict / Threat Framing,rhetorical,erdogan,Erdoğan,3,0.489992586175702,-0.12084743834666958,0.33205658197402954,0.6554513573646545,0.032,5,0.508023754056844,0.14920604133466786
conflict_threat_framing,Conflict / Threat Framing,rhetorical,merkel,Merkel,4,0.4472423071076389,-0.4073658573440254,0.35683539509773254,0.5376492142677307,0.0005,4,0.508023754056844,0.14920604133466786
conflict_threat_framing,Conflict / Threat Framing,rhetorical,macron,Macron,5,0.43428608122508106,-0.4942003163690267,0.3679453134536743,0.5021573305130005,0.0,4,0.508023754056844,0.14920604133466786
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,putin,Putin,1,0.6164522273446968,0.6713743374022382,0.5177169442176819,0.6892329454421997,0.695,4,0.5153055028237303,0.15065622691557679
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,merkel,Merkel,2,0.5666752752916666,0.3409734434456691,0.4884641766548157,0.6791064143180847,0.1915,4,0.5153055028237303,0.15065622691557679
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,trump,Trump,3,0.5096541722440476,-0.037511430462476104,0.3969893753528595,0.7001549601554871,0.084,3,0.5153055028237303,0.15065622691557679
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,macron,Macron,4,0.46534850245889847,-0.3315959876841087,0.36920642852783203,0.5314735174179077,0.001,4,0.5153055028237303,0.15065622691557679
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,erdogan,Erdoğan,5,0.43664870387228333,-0.5220945762535523,0.2629713714122772,0.610665500164032,0.0285,5,0.5153055028237303,0.15065622691557679
past_orientation,Past Orientation,rhetorical,putin,Putin,1,0.642983031060606,1.0206955313059694,0.5619046092033386,0.7460227012634277,0.9405,4,0.49824324039173407,0.1418050596181987
past_orientation,Past Orientation,rhetorical,erdogan,Erdoğan,2,0.5188294031221001,0.14517227231378768,0.35967138409614563,0.635649561882019,0.0595,5,0.49824324039173407,0.1418050596181987
past_orientation,Past Orientation,rhetorical,trump,Trump,3,0.5085965230416667,0.07301067167707682,0.4586777091026306,0.5374483466148376,0.0,3,0.49824324039173407,0.1418050596181987
past_orientation,Past Orientation,rhetorical,macron,Macron,4,0.48361002143641096,-0.10319250240239729,0.41850319504737854,0.5487168431282043,0.0,4,0.49824324039173407,0.1418050596181987
past_orientation,Past Orientation,rhetorical,merkel,Merkel,5,0.3346390032777778,-1.153726373053617,0.2627410590648651,0.422821968793869,0.0,4,0.49824324039173407,0.1418050596181987
future_orientation,Future Orientation,rhetorical,macron,Macron,1,0.5792959512807486,0.5411195725768412,0.5528079271316528,0.6024693250656128,0.499,4,0.4975478530256271,0.15107215188286868
future_orientation,Future Orientation,rhetorical,putin,Putin,2,0.5500125219431818,0.34728219770267366,0.4374217391014099,0.6639118790626526,0.268,4,0.4975478530256271,0.15107215188286868
future_orientation,Future Orientation,rhetorical,erdogan,Erdoğan,3,0.5054798776710623,0.05250487628974214,0.3042242228984833,0.6624391078948975,0.208,5,0.4975478530256271,0.15107215188286868
future_orientation,Future Orientation,rhetorical,trump,Trump,4,0.44570297447142854,-0.3431795860986718,0.31154072284698486,0.6164772510528564,0.025,3,0.4975478530256271,0.15107215188286868
future_orientation,Future Orientation,rhetorical,merkel,Merkel,5,0.3923037139618055,-0.6966481760676903,0.31049126386642456,0.4855085015296936,0.0,4,0.4975478530256271,0.15107215188286868
us_vs_them,Us-versus-Them Contrast,rhetorical,trump,Trump,1,0.7675742825833334,1.6672289479296747,0.617030680179596,0.9356921315193176,0.999,3,0.512454151725622,0.15302045419407662
us_vs_them,Us-versus-Them Contrast,rhetorical,putin,Putin,2,0.5468836131818181,0.22499908027020415,0.49436983466148376,0.588966965675354,0.0,4,0.512454151725622,0.15302045419407662
us_vs_them,Us-versus-Them Contrast,rhetorical,merkel,Merkel,3,0.4848197891354166,-0.1805926059738169,0.39462810754776,0.5553547143936157,0.0,4,0.512454151725622,0.15302045419407662
us_vs_them,Us-versus-Them Contrast,rhetorical,erdogan,Erdoğan,4,0.4558825006813187,-0.36969992895559745,0.37323635816574097,0.5780673027038574,0.001,5,0.512454151725622,0.15302045419407662
us_vs_them,Us-versus-Them Contrast,rhetorical,macron,Macron,5,0.3850335185217265,-0.83270327404915,0.3117489814758301,0.4470256268978119,0.0,4,0.512454151725622,0.15302045419407662
gratitude_recognition,Gratitude & Recognition,rhetorical,putin,Putin,1,0.744768972625,1.4939052583302792,0.7040237188339233,0.7724267244338989,1.0,4,0.5027115495838197,0.16202996923093044
gratitude_recognition,Gratitude & Recognition,rhetorical,trump,Trump,2,0.5644554256488096,0.38106454230692616,0.3863636255264282,0.6846590638160706,0.0,3,0.5027115495838197,0.16202996923093044
gratitude_recognition,Gratitude & Recognition,rhetorical,macron,Macron,3,0.43404326797759263,-0.4237998805539409,0.3981894254684448,0.4698970913887024,0.0,4,0.5027115495838197,0.16202996923093044
gratitude_recognition,Gratitude & Recognition,rhetorical,erdogan,Erdoğan,4,0.4076355449028083,-0.5867803662019214,0.2613976001739502,0.5056965947151184,0.0,5,0.5027115495838197,0.16202996923093044
gratitude_recognition,Gratitude & Recognition,rhetorical,merkel,Merkel,5,0.4018595069513889,-0.6224283267541276,0.3645833432674408,0.4558798372745514,0.0,4,0.5027115495838197,0.16202996923093044
promises_commitments,Promises & Commitments,rhetorical,trump,Trump,1,0.6618088428880952,1.2007228585272662,0.496015340089798,0.8137913346290588,0.843,3,0.4741536985574191,0.15628514356830228
promises_commitments,Promises & Commitments,rhetorical,macron,Macron,2,0.5740123717425307,0.6389517960897528,0.5546229481697083,0.6063006520271301,0.151,4,0.4741536985574191,0.15628514356830228
promises_commitments,Promises & Commitments,rhetorical,erdogan,Erdoğan,3,0.4486387349106227,-0.16325904730442561,0.28394636511802673,0.5763641595840454,0.006,5,0.4741536985574191,0.15628514356830228
promises_commitments,Promises & Commitments,rhetorical,merkel,Merkel,4,0.3890610651076389,-0.5444703924310735,0.27780646085739136,0.5006600022315979,0.0,4,0.4741536985574191,0.15628514356830228
promises_commitments,Promises & Commitments,rhetorical,putin,Putin,5,0.3505400051325757,-0.7909497384235995,0.29423364996910095,0.4086260199546814,0.0,4,0.4741536985574191,0.15628514356830228
affiliative_positive,Affiliative / positive emotion,emotion,putin,Putin,1,0.5382311537184499,0.827157865411386,0.4821181297302246,0.5756432414054871,0.855,4,0.4533756399808234,0.10258684259192002
affiliative_positive,Affiliative / positive emotion,emotion,merkel,Merkel,2,0.46453964836998946,0.10882495364025688,0.3863496780395508,0.5892763137817383,0.1095,4,0.4533756399808234,0.10258684259192002
affiliative_positive,Affiliative / positive emotion,emotion,macron,Macron,3,0.45434969663822483,0.009494947234862362,0.4282653331756592,0.4804340600967407,0.0005,4,0.4533756399808234,0.10258684259192002
affiliative_positive,Affiliative / positive emotion,emotion,trump,Trump,4,0.4345473902178041,-0.18353474273417447,0.3094885051250458,0.5441020727157593,0.032,3,0.4533756399808234,0.10258684259192002
affiliative_positive,Affiliative / positive emotion,emotion,erdogan,Erdoğan,5,0.3870777268112797,-0.6462613673887014,0.2920960485935211,0.5031428933143616,0.003,5,0.4533756399808234,0.10258684259192002
threat_negative,"Fear, sadness & loss",emotion,trump,Trump,1,0.05789402533991957,0.7905478848379622,0.004441943485289812,0.10353638231754303,0.637,3,0.03279834273774982,0.03174467111162227
threat_negative,"Fear, sadness & loss",emotion,merkel,Merkel,2,0.037410091618059776,0.14527631627033977,0.008677487261593342,0.07365205883979797,0.2095,4,0.03279834273774982,0.03174467111162227
threat_negative,"Fear, sadness & loss",emotion,erdogan,Erdoğan,3,0.03690582515603758,0.12939124188260812,0.012162568978965282,0.06522669643163681,0.1405,5,0.03279834273774982,0.03174467111162227
threat_negative,"Fear, sadness & loss",emotion,macron,Macron,4,0.027789853548755128,-0.1577741716517895,0.01775975339114666,0.03826283663511276,0.013,4,0.03279834273774982,0.03174467111162227
threat_negative,"Fear, sadness & loss",emotion,putin,Putin,5,0.009238968071947525,-0.7421521106002829,0.004019740968942642,0.018432723358273506,0.0,4,0.03279834273774982,0.03174467111162227
