dimension,dimension_label,kind,leader,leader_name,rank,value,z_value,ci_low,ci_high,share_rank1,n_speeches,corpus_mean,corpus_sd
conflict_threat_framing,Conflict / Threat Framing,rhetorical,trump,Trump,1,0.5981335200746966,1.0132390292877356,0.5027142763137817,0.6843529343605042,0.8575,3,0.5034046196232961,0.09349116813827331
conflict_threat_framing,Conflict / Threat Framing,rhetorical,putin,Putin,2,0.5283196969696969,0.2664965883146475,0.45463332533836365,0.5981590747833252,0.0975,4,0.5034046196232961,0.09349116813827331
conflict_threat_framing,Conflict / Threat Framing,rhetorical,erdogan,Erdoğan,3,0.47615238095238094,-0.291495327458195,0.39800000190734863,0.598723828792572,0.0405,5,0.5034046196232961,0.09349116813827331
conflict_threat_framing,Conflict / Threat Framing,rhetorical,macron,Macron,4,0.47337945156695155,-0.3211551278505511,0.42225927114486694,0.5417355895042419,0.003,4,0.5034046196232961,0.09349116813827331
conflict_threat_framing,Conflict / Threat Framing,rhetorical,merkel,Merkel,5,0.47153333333333336,-0.3409015731071535,0.42835554480552673,0.5171777606010437,0.0015,4,0.5034046196232961,0.09349116813827331
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,putin,Putin,1,0.6562590909090908,0.9746415130033946,0.5583181977272034,0.7542724609375,0.912,4,0.511362189201121,0.14866686856120526
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,merkel,Merkel,2,0.5456555555555556,0.2306725545935357,0.4491666555404663,0.601111114025116,0.0215,4,0.511362189201121,0.14866686856120526
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,trump,Trump,3,0.5188702147525678,0.05050234543923082,0.37533333897590637,0.6907058954238892,0.064,3,0.511362189201121,0.14866686856120526
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,macron,Macron,4,0.4745013307842255,-0.24794265712081032,0.4133319854736328,0.5166210532188416,0.0,4,0.511362189201121,0.14866686856120526
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,erdogan,Erdoğan,5,0.39299384615384614,-0.7961985356444315,0.2451876848936081,0.5475999712944031,0.0025,5,0.511362189201121,0.14866686856120526
past_orientation,Past Orientation,rhetorical,putin,Putin,1,0.7190363636363637,1.4396789631534332,0.6093090772628784,0.8500000238418579,0.9995,4,0.5124974464805347,0.14346178727473502
past_orientation,Past Orientation,rhetorical,erdogan,Erdoğan,2,0.5090675457875458,-0.02390811349938473,0.43806856870651245,0.5616512894630432,0.0,5,0.5124974464805347,0.14346178727473502
