dimension,dimension_label,kind,leader,leader_name,rank,value,z_value,ci_low,ci_high,share_rank1,n_speeches,corpus_mean,corpus_sd
conflict_threat_framing,Conflict / Threat Framing,rhetorical,trump,Trump,1,0.6833923652678572,1.387095621078285,0.4964580833911896,0.8347107172012329,0.95,3,0.5140349825713463,0.12209495879228406
conflict_threat_framing,Conflict / Threat Framing,rhetorical,putin,Putin,2,0.5225378791893939,0.06964166827324408,0.4637913405895233,0.5761018991470337,0.0255,4,0.5140349825713463,0.12209495879228406
conflict_threat_framing,Conflict / Threat Framing,rhetorical,erdogan,Erdoğan,3,0.4815346263416605,-0.26618917399347747,0.39534658193588257,0.6100355982780457,0.022,5,0.5140349825713463,0.12209495879228406
conflict_threat_framing,Conflict / Threat Framing,rhetorical,macron,Macron,4,0.4703358632824238,-0.35791092213124287,0.4228536784648895,0.5420722961425781,0.002,4,0.5140349825713463,0.12209495879228406
conflict_threat_framing,Conflict / Threat Framing,rhetorical,merkel,Merkel,5,0.46283861350694444,-0.41931599445887413,0.42105716466903687,0.5309917330741882,0.0005,4,0.5140349825713463,0.12209495879228406
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,putin,Putin,1,0.6572173141856061,0.9226032269065332,0.5421205759048462,0.7723140716552734,0.789,4,0.5170011399932564,0.15197884648907115
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,trump,Trump,2,0.5944878874345237,0.5098521881914636,0.48878395557403564,0.7244318127632141,0.2025,3,0.5170011399932564,0.15197884648907115
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,merkel,Merkel,3,0.5050074595708334,-0.07891677492950001,0.405417799949646,0.5623565316200256,0.0055,4,0.5170011399932564,0.15197884648907115
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,macron,Macron,4,0.47451368741386446,-0.2795616203235702,0.42006587982177734,0.5190306305885315,0.0,4,0.5170011399932564,0.15197884648907115
cooperation_solidarity_framing,Cooperation / Solidarity Framing,rhetorical,erdogan,Erdoğan,5,0.40192105857606836,-0.7572111782376469,0.24363717436790466,0.568672239780426,0.003,5,0.5170011399932564,0.15197884648907115
