language,theme,n_chunks,mean_cos_matched,mean_cos_en,mean_pct
de,national_identity,46,0.26105,0.21166658,0.3410326
de,security_military,46,0.2305658,0.2020737,0.32951945
de,economy_welfare,46,0.24132206,0.2068057,0.4166905
de,foreign_policy,46,0.22106336,0.19476439,0.37285474
de,democracy_institutions,46,0.22171383,0.19748268,0.4114703
de,social_solidarity,46,0.33508188,0.282368,0.5576373
de,crisis_resilience,46,0.3138332,0.24219827,0.43907326
de,future_reform_technology,46,0.3180303,0.2526246,0.5331093
en,national_identity,74,0.3432185,0.34321854,0.60908604
en,security_military,74,0.29990754,0.29990754,0.5887269
en,economy_welfare,74,0.2667831,0.2667831,0.49133176
en,foreign_policy,74,0.27152583,0.27152583,0.5922386
en,democracy_institutions,74,0.23467064,0.23467064,0.48390827
en,social_solidarity,74,0.34116516,0.34116516,0.5864598
en,crisis_resilience,74,0.3311476,0.3311476,0.51662517
en,future_reform_technology,74,0.27073246,0.27073246,0.37637803
fr,national_identity,99,0.29896027,0.22929733,0.4619717
fr,security_military,99,0.28674558,0.20572616,0.5254685
fr,economy_welfare,99,0.29988605,0.21008082,0.6327253
fr,foreign_policy,99,0.23227613,0.19914357,0.44286618
fr,democracy_institutions,99,0.25329545,0.18843131,0.56796587
fr,social_solidarity,99,0.29393363,0.22854926,0.4193082
fr,crisis_resilience,99,0.32661164,0.25145218,0.48061198
fr,future_reform_technology,99,0.36341658,0.27072158,0.6827319
tr,national_identity,85,0.31658256,0.20222633,0.53535223
tr,security_military,85,0.2757236,0.20892812,0.4853522
tr,economy_welfare,85,0.24398297,0.17131217,0.39804566
tr,foreign_policy,85,0.261165,0.20283978,0.5550503
tr,democracy_institutions,85,0.23956397,0.1793983,0.48275924
tr,social_solidarity,85,0.31560868,0.19659367,0.48751935
tr,crisis_resilience,85,0.33772865,0.23165761,0.5410798
tr,future_reform_technology,85,0.27130792,0.20773241,0.37687692
