language,theme,n_chunks,mean_cos_matched,mean_cos_en,mean_pct
de,national_identity,42,0.52051383,0.48344502,0.6340722
de,security_military,42,0.483374,0.4788698,0.5286535
de,economy_welfare,42,0.50188935,0.46820128,0.6490148
de,foreign_policy,42,0.49888316,0.47064146,0.6501641
de,democracy_institutions,42,0.4782636,0.46500275,0.6100164
de,social_solidarity,42,0.5437102,0.4785462,0.7173235
de,crisis_resilience,42,0.49445662,0.47790495,0.36871922
de,future_reform_technology,42,0.5483066,0.49954674,0.57545155
en,national_identity,72,0.5037628,0.5037628,0.5526341
en,security_military,72,0.4838552,0.4838552,0.53065133
en,economy_welfare,72,0.4348977,0.4348977,0.3197318
en,foreign_policy,72,0.45557752,0.45557752,0.3868774
en,democracy_institutions,72,0.44274032,0.44274032,0.41848657
en,social_solidarity,72,0.46312252,0.46312252,0.34727013
en,crisis_resilience,72,0.47158992,0.47158992,0.2665709
en,future_reform_technology,72,0.47316372,0.47316372,0.24396552
fr,national_identity,96,0.47212163,0.47819862,0.36519396
fr,security_military,96,0.47837672,0.46820244,0.5042744
fr,economy_welfare,96,0.4926366,0.45164624,0.6065733
fr,foreign_policy,96,0.48412856,0.46063924,0.5590158
fr,democracy_institutions,96,0.46589574,0.4436631,0.54145116
fr,social_solidarity,96,0.50983113,0.4526746,0.5664871
fr,crisis_resilience,96,0.5461088,0.48024654,0.65704024
fr,future_reform_technology,96,0.5711813,0.50492877,0.68688935
tr,national_identity,80,0.5071106,0.4554369,0.5440086
tr,security_military,80,0.47140878,0.4591671,0.45224133
tr,economy_welfare,80,0.46448106,0.4318822,0.45612067
tr,foreign_policy,80,0.4686039,0.4478569,0.4521552
tr,democracy_institutions,80,0.45674163,0.42625818,0.4658621
tr,social_solidarity,80,0.4858809,0.4343927,0.4435776
tr,crisis_resilience,80,0.5352467,0.47449788,0.5905603
tr,future_reform_technology,80,0.52194583,0.46961975,0.4665517
