key,spearman_cos_vs_cos_en,spearman_cos_vs_nli,spearman_cos_en_vs_nli,spearman_cos_vs_kw,kw_nonzero_share,mean_cos,sd_cos,top_theme_agreement_emb_vs_nli
national_identity,0.9999999999999998,0.3456468838070496,0.3456468838070496,0.48942868660765326,0.608,0.405885249376297,0.06633051484823227,0.344
security_military,0.9999999999999998,0.5786652248510865,0.5786652248510865,0.5148508325737962,0.34,0.4241026043891907,0.05877719447016716,0.344
economy_welfare,0.9999999999999998,0.5709163618937152,0.5709163618937152,0.5469470266707039,0.332,0.39916476607322693,0.05755311995744705,0.344
foreign_policy,0.9999999999999998,0.48600748543321304,0.48600748543321304,0.3614529974879987,0.356,0.39391499757766724,0.05374680086970329,0.344
democracy_institutions,0.9999999999999998,0.3912243075889214,0.3912243075889214,0.44956914222889804,0.284,0.3785152733325958,0.05321824923157692,0.344
social_solidarity,0.9999999999999998,0.34589436872162466,0.34589436872162466,0.3779218199310742,0.504,0.39274799823760986,0.0581514909863472,0.344
crisis_resilience,0.9999999999999998,0.4476448802659095,0.4476448802659095,0.36649932294401183,0.248,0.445133775472641,0.051315195858478546,0.344
future_reform_technology,0.9999999999999998,0.32314084829662154,0.32314084829662154,0.39408226652177225,0.28,0.39807188510894775,0.059190135449171066,0.344
conflict_threat_framing,0.9999999999999998,0.38925957236673614,0.38925957236673614,,,0.4114201068878174,0.05822856351733208,0.344
cooperation_solidarity_framing,0.9999999999999998,0.31591148658378526,0.31591148658378526,,,0.39842283725738525,0.053386129438877106,0.344
past_orientation,0.9999999999999998,0.1609757596121538,0.1609757596121538,,,0.40464910864830017,0.0630054697394371,0.344
future_orientation,0.9999999999999998,0.4530700331205299,0.4530700331205299,,,0.45344245433807373,0.06403984129428864,0.344
us_vs_them,0.9999999999999998,0.2895921450760184,0.2895921450760184,,,0.3775341808795929,0.06122790277004242,0.344
gratitude_recognition,0.9999999999999998,0.44617942687082995,0.44617942687082995,,,0.4238842725753784,0.06233585253357887,0.344
promises_commitments,0.9999999999999998,0.4221393918915074,0.4221393918915074,,,0.43096286058425903,0.048158373683691025,0.344
