chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,top_theme_nli
erdogan1_c000,erdogan1,erdogan,en,,symposium_speech,0,10,0.0,80,70,0.4013514,0.4013514,0.494,-0.004533857,0.0,0.38982242,0.38982242,0.274,-0.03428018,0.0,0.36150935,0.36150935,0.262,-0.037655413,0.0,0.42730772,0.42730772,0.734,0.033392727,0.0,0.46638584,0.46638584,0.95,0.08787057,0.0,0.35733497,0.35733497,0.266,-0.035413027,0.0,0.39310735,0.39310735,0.174,-0.05202642,0.0,0.43899265,0.43899265,0.778,0.040920764,0.0,0.38575006,0.38575006,0.322,-0.025670052,0.383959,0.383959,0.41,-0.014463842,0.43756196,0.43756196,0.694,0.03291285,0.44773057,0.44773057,0.498,-0.0057118833,0.37145737,0.37145737,0.498,-0.0060768127,0.39053863,0.39053863,0.278,-0.03334564,0.4025358,0.4025358,0.278,-0.028427064,democracy_institutions,0.17199999,0.92708737,0.0026470982,0.0007839426,0.9845011,0.40250957,0.07814848,0.03204008,0.005511934,0.0006130294,0.066629894,0.99574363,0.9540946,0.09951397,0.997915,0.24476895,foreign_policy
erdogan1_c001,erdogan1,erdogan,en,,symposium_speech,1,10,0.111,118,97,0.39851815,0.39851815,0.482,-0.0073671043,0.0,0.38703257,0.38703257,0.262,-0.037070036,2.0618556,0.31483448,0.31483448,0.054,-0.08433029,1.0309278,0.36959243,0.36959243,0.35,-0.02432257,2.0618556,0.43092924,0.43092924,0.85,0.05241397,1.0309278,0.33325195,0.33325195,0.142,-0.059496045,0.0,0.42393285,0.42393285,0.334,-0.021200925,0.0,0.32460803,0.32460803,0.09,-0.07346386,0.0,0.37694842,0.37694842,0.25,-0.03447169,0.35393783,0.35393783,0.186,-0.044485003,0.41831568,0.41831568,0.534,0.01366657,0.33888516,0.33888516,0.026,-0.114557296,0.35929126,0.35929126,0.41,-0.018242925,0.40649128,0.40649128,0.398,-0.017392993,0.3254446,0.3254446,0.014,-0.10551825,democracy_institutions,0.36800003,0.8859772,0.008881676,0.00032694527,0.954584,0.44939262,0.6032309,0.4882834,0.00016474658,0.6397589,0.011630993,0.998772,0.00109019,0.9310875,0.99113554,0.92603666,foreign_policy
erdogan1_c002,erdogan1,erdogan,en,,symposium_speech,2,10,0.222,139,118,0.3925327,0.3925327,0.446,-0.013352543,0.84745765,0.43904096,0.43904096,0.602,0.0149383545,0.84745765,0.4018994,0.4018994,0.57,0.0027346313,0.84745765,0.40755248,0.40755248,0.574,0.013637483,0.0,0.5351465,0.5351465,0.994,0.1566312,0.84745765,0.35104522,0.35104522,0.226,-0.041702777,0.0,0.44195253,0.44195253,0.466,-0.003181249,0.84745765,0.42245063,0.42245063,0.674,0.024378747,0.0,0.42236313,0.42236313,0.558,0.010943025,0.37561524,0.37561524,0.334,-0.022807598,0.4021673,0.4021673,0.466,-0.0024818182,0.4295193,0.4295193,0.386,-0.023923159,0.39374354,0.39374354,0.63,0.016209364,0.3655539,0.3655539,0.15,-0.058330387,0.42226893,0.42226893,0.402,-0.0086939335,democracy_institutions,0.32,0.91212356,0.55892897,0.0024343822,0.81819266,0.98648083,0.66334194,0.99335885,0.00025865273,0.0030072695,0.0079456875,0.9548373,0.99876004,0.99749345,0.24278861,0.9899767,crisis_resilience
erdogan1_c003,erdogan1,erdogan,en,,symposium_speech,3,10,0.333,152,128,0.37919605,0.37919605,0.354,-0.026689202,1.5625,0.3566534,0.3566534,0.122,-0.06744921,0.0,0.32882154,0.32882154,0.098,-0.070343226,0.0,0.35215503,0.35215503,0.226,-0.041759968,0.0,0.4387046,0.4387046,0.87,0.060189337,0.78125,0.30997854,0.30997854,0.062,-0.08276945,0.78125,0.38524577,0.38524577,0.134,-0.059888005,0.0,0.3853648,0.3853648,0.426,-0.012707084,0.0,0.36400217,0.36400217,0.194,-0.04741794,0.3480827,0.3480827,0.166,-0.050340146,0.38066503,0.38066503,0.362,-0.023984075,0.3915084,0.3915084,0.17,-0.061934054,0.35051775,0.35051775,0.338,-0.027016431,0.320682,0.320682,0.05,-0.10320228,0.3534844,0.3534844,0.046,-0.07747847,democracy_institutions,0.444,0.8945594,0.021044564,0.0011786722,0.6265241,0.5480689,0.4764579,0.6477704,0.0013723688,0.0010505168,0.49346963,0.97754294,0.007922628,0.12543988,0.6778473,0.037082024,national_identity
erdogan1_c004,erdogan1,erdogan,en,,symposium_speech,4,10,0.444,96,88,0.33132446,0.33132446,0.118,-0.07456079,2.2727273,0.39687744,0.39687744,0.306,-0.027225167,0.0,0.33562273,0.33562273,0.122,-0.06354204,0.0,0.35175315,0.35175315,0.218,-0.042161852,0.0,0.48331237,0.48331237,0.974,0.104797095,1.1363636,0.3256719,0.3256719,0.11,-0.06707609,1.1363636,0.40731138,0.40731138,0.238,-0.037822396,0.0,0.32887197,0.32887197,0.098,-0.06919992,0.0,0.37200135,0.37200135,0.23,-0.039418757,0.33391103,0.33391103,0.094,-0.064511806,0.3061146,0.3061146,0.066,-0.098534495,0.34593326,0.34593326,0.034,-0.107509196,0.35255688,0.35255688,0.374,-0.024977297,0.31308582,0.31308582,0.038,-0.11079845,0.37211436,0.37211436,0.11,-0.0588485,democracy_institutions,0.668,0.97764987,0.0012448432,0.0003150387,0.93987197,0.9945519,0.9911868,0.4829168,0.0002617008,0.0006667022,0.06681232,0.34834027,0.984276,0.87525487,0.26090702,0.99937123,democracy_institutions
erdogan1_c005,erdogan1,erdogan,en,,symposium_speech,5,10,0.556,96,78,0.31059718,0.31059718,0.05,-0.09528807,1.2820513,0.36239427,0.36239427,0.142,-0.06170833,0.0,0.315458,0.315458,0.062,-0.08370677,0.0,0.3486429,0.3486429,0.19,-0.045272112,0.0,0.44257668,0.44257668,0.886,0.0640614,2.5641026,0.30213454,0.30213454,0.05,-0.090613455,0.0,0.37258,0.37258,0.094,-0.07255378,0.0,0.37228915,0.37228915,0.338,-0.025782734,0.0,0.38821232,0.38821232,0.342,-0.023207784,0.3415899,0.3415899,0.134,-0.05683294,0.33174568,0.33174568,0.134,-0.072903425,0.3813662,0.3813662,0.134,-0.07207626,0.3532372,0.3532372,0.386,-0.02429697,0.32451543,0.32451543,0.074,-0.09936884,0.35665357,0.35665357,0.054,-0.07430929,democracy_institutions,0.548,0.077762425,0.18297236,0.0009290033,0.9379822,0.9692224,0.012722707,0.40822467,9.685608e-05,0.00074953143,0.00042140938,0.99882597,0.004690933,0.9928509,0.0011890647,0.9325762,democracy_institutions
erdogan1_c006,erdogan1,erdogan,en,,symposium_speech,6,10,0.667,106,88,0.39703298,0.39703298,0.47,-0.008852273,1.1363636,0.37216955,0.37216955,0.19,-0.05193305,0.0,0.34068394,0.34068394,0.138,-0.05848083,0.0,0.3520373,0.3520373,0.222,-0.041877687,0.0,0.4665076,0.4665076,0.954,0.08799234,1.1363636,0.38323438,0.38323438,0.446,-0.009513617,0.0,0.3936941,0.3936941,0.178,-0.051439673,0.0,0.37564415,0.37564415,0.362,-0.022427738,0.0,0.38363105,0.38363105,0.298,-0.027789056,0.39242446,0.39242446,0.47,-0.005998373,0.3387099,0.3387099,0.158,-0.06593922,0.3957667,0.3957667,0.182,-0.05767575,0.37253472,0.37253472,0.51,-0.004999459,0.38052613,0.38052613,0.246,-0.043358147,0.41611147,0.41611147,0.374,-0.014851391,democracy_institutions,0.484,0.78282857,0.07863355,0.00049264234,0.5239075,0.91000706,0.9301416,0.23185325,0.00012053648,0.00035976942,0.046464663,0.047602657,0.0005647764,0.760584,0.16221407,0.25902826,social_solidarity
erdogan1_c007,erdogan1,erdogan,en,,symposium_speech,7,10,0.778,84,74,0.43724513,0.43724513,0.678,0.03135988,5.4054055,0.3731727,0.3731727,0.198,-0.050929904,0.0,0.3171829,0.3171829,0.066,-0.08198187,0.0,0.36916053,0.36916053,0.346,-0.024754465,0.0,0.4711497,0.4711497,0.958,0.09263444,0.0,0.3322824,0.3322824,0.134,-0.060465604,0.0,0.36034578,0.36034578,0.046,-0.084787995,0.0,0.32388908,0.32388908,0.086,-0.07418281,0.0,0.35936043,0.35936043,0.182,-0.05205968,0.3437357,0.3437357,0.146,-0.054687142,0.3224791,0.3224791,0.122,-0.08217001,0.36897245,0.36897245,0.074,-0.084470004,0.38717198,0.38717198,0.61,0.009637803,0.3504009,0.3504009,0.126,-0.07348338,0.38831416,0.38831416,0.19,-0.042648703,democracy_institutions,0.28000003,0.9576556,0.640411,0.050424073,0.7801604,0.9967713,0.86861795,0.09773432,0.07098909,0.003279443,0.5341265,0.4956056,0.87541467,0.255158,0.0004637128,0.9987576,democracy_institutions
erdogan1_c008,erdogan1,erdogan,en,,symposium_speech,8,10,0.889,84,68,0.30919388,0.30919388,0.046,-0.09669137,2.9411764,0.31859905,0.31859905,0.038,-0.10550356,0.0,0.27154207,0.27154207,0.002,-0.1276227,0.0,0.3312421,0.3312421,0.098,-0.06267288,0.0,0.4141691,0.4141691,0.758,0.03565383,0.0,0.26268852,0.26268852,0.018,-0.13005948,0.0,0.3005077,0.3005077,0.002,-0.14462608,0.0,0.3088296,0.3088296,0.058,-0.08924228,0.0,0.30376947,0.30376947,0.038,-0.10765064,0.27155837,0.27155837,0.018,-0.12686446,0.30175793,0.30175793,0.058,-0.10289118,0.34566772,0.34566772,0.03,-0.107774734,0.33768636,0.33768636,0.25,-0.03984782,0.3130561,0.3130561,0.034,-0.11082816,0.38066924,0.38066924,0.15,-0.050293624,democracy_institutions,0.66,0.893936,0.6013595,0.14572215,0.9011187,0.99574363,0.8960241,0.060031526,0.48389235,0.0011559009,0.65786827,0.27727726,0.9915462,0.79318607,0.10699346,0.99718267,democracy_institutions
erdogan1_c009,erdogan1,erdogan,en,,symposium_speech,9,10,1.0,109,95,0.31362376,0.31362376,0.054,-0.09226149,2.1052632,0.33732194,0.33732194,0.07,-0.08678067,0.0,0.31004757,0.31004757,0.042,-0.0891172,0.0,0.35054332,0.35054332,0.198,-0.043371677,0.0,0.44115448,0.44115448,0.882,0.06263921,3.1578948,0.2740762,0.2740762,0.026,-0.118671805,0.0,0.30597943,0.30597943,0.006,-0.13915434,0.0,0.3561717,0.3561717,0.238,-0.041900188,0.0,0.31586796,0.31586796,0.058,-0.09555215,0.3357076,0.3357076,0.098,-0.06271523,0.292072,0.292072,0.026,-0.11257711,0.37800652,0.37800652,0.114,-0.07543594,0.35288817,0.35288817,0.378,-0.024646014,0.32240406,0.32240406,0.054,-0.101480216,0.4020977,0.4020977,0.274,-0.028865159,democracy_institutions,0.64400005,0.98293835,0.014111099,0.109562784,0.43878517,0.99913234,0.16411418,0.023531878,0.22867285,0.0017274587,0.26459584,0.14926767,0.8664559,0.014461763,0.19512397,0.9712384,democracy_institutions
