chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,top_theme_nli
erdogan1_c000,erdogan1,erdogan,tr,,symposium_speech,0,13,0.0,110,47,0.47001058,0.44439802,0.31414473,-0.027579337,2.1276596,0.4348171,0.4446661,0.17927632,-0.042733192,0.0,0.45065072,0.41781443,0.36348686,-0.020793915,0.0,0.50011647,0.4692083,0.7253289,0.026676595,0.0,0.4658962,0.46826816,0.5378289,0.0063791573,2.1276596,0.44076568,0.41782653,0.17598684,-0.0567874,4.255319,0.5167497,0.45667103,0.49506578,0.0010977983,0.0,0.55631745,0.53032947,0.66611844,0.02579242,0.0,0.40502125,0.41222766,0.23848684,-0.033495814,0.4290348,0.43743327,0.18914473,-0.047889203,foreign_policy,0.05921048,0.5291417,0.10347652,0.00083446014,0.9232816,0.6730842,0.78882736,0.098382086,0.00063743425,0.001199549,0.014104308,foreign_policy
erdogan1_c001,erdogan1,erdogan,tr,,symposium_speech,1,13,0.083,150,62,0.5385842,0.50713414,0.76480263,0.040994257,3.2258065,0.4634997,0.45943648,0.38980263,-0.014050603,3.2258065,0.44498792,0.42704722,0.33717105,-0.026456714,0.0,0.46478924,0.44771272,0.43585527,-0.008650631,1.6129032,0.4770268,0.4782074,0.65953946,0.017509758,3.2258065,0.49706566,0.42571485,0.49177632,-0.00048741698,3.2258065,0.56765914,0.49292082,0.84375,0.052007258,0.0,0.48835915,0.44206727,0.25822368,-0.042165875,0.0,0.45722574,0.43252942,0.65625,0.018708676,0.4571193,0.4415281,0.36677632,-0.019804716,crisis_resilience,0.078947365,0.8765023,0.01096574,0.00019147785,0.66909647,0.022737443,0.8331889,0.18086497,0.00010932307,0.67276186,0.0016072205,national_identity
erdogan1_c002,erdogan1,erdogan,tr,,symposium_speech,2,13,0.167,106,41,0.44384027,0.43739653,0.15625,-0.05374965,0.0,0.48993957,0.495633,0.6069079,0.012389272,0.0,0.50937116,0.5063293,0.7582237,0.037926525,2.4390244,0.50278026,0.46653855,0.7417763,0.029340386,0.0,0.5320717,0.52978504,0.92269737,0.07255468,2.4390244,0.4476673,0.43818304,0.20559211,-0.04988578,0.0,0.57460546,0.52749234,0.8667763,0.058953583,0.0,0.49238837,0.46816257,0.27796054,-0.03813666,0.0,0.465891,0.4543681,0.7055921,0.02737394,0.45383334,0.4334157,0.3536184,-0.02309066,democracy_institutions,0.055921078,0.1390453,0.025932683,0.46854746,0.03087972,0.99425304,0.073879816,0.999675,6.949274e-05,0.00018740872,0.00078088866,crisis_resilience
erdogan1_c003,erdogan1,erdogan,tr,,symposium_speech,3,13,0.25,88,40,0.5797001,0.5300721,0.95230263,0.0821102,5.0,0.5268574,0.49095052,0.84703946,0.049307078,0.0,0.522566,0.4867724,0.81414473,0.051121384,0.0,0.5488756,0.5180887,0.9292763,0.0754357,0.0,0.59552526,0.54216087,0.9884868,0.13600823,2.5,0.5143397,0.47316715,0.64638156,0.016786605,0.0,0.58177865,0.51464784,0.8865132,0.066126764,0.0,0.621259,0.55450845,0.91611844,0.090733945,0.0,0.44871992,0.43551326,0.5740132,0.010202855,0.49687544,0.45893487,0.59703946,0.019951433,democracy_institutions,0.03618419,0.46722537,0.18388656,0.0014607494,0.84853345,0.05033063,0.9389409,0.5431056,0.00027425666,0.0040701376,0.005050509,social_solidarity
erdogan1_c004,erdogan1,erdogan,tr,,symposium_speech,4,13,0.333,95,44,0.48297536,0.47021967,0.3930921,-0.014614552,2.2727273,0.43849117,0.44627148,0.21546052,-0.039059132,0.0,0.46646142,0.42091084,0.4786184,-0.0049832165,2.2727273,0.49444377,0.46734822,0.6792763,0.021003902,0.0,0.50834453,0.5161052,0.84703946,0.0488275,4.5454545,0.44071501,0.38527578,0.17269737,-0.056838065,0.0,0.5239327,0.45691904,0.56085527,0.008280814,0.0,0.5237564,0.4852895,0.46875,-0.006768644,0.0,0.438232,0.41164142,0.48848686,-0.0002850592,0.4788949,0.4125538,0.5115132,0.0019708872,democracy_institutions,0.16776317,0.72340715,0.034004062,0.0002642683,0.8698805,0.05134372,0.012895588,0.8776473,0.00023276829,0.0006563728,0.0048579667,crisis_resilience
erdogan1_c005,erdogan1,erdogan,tr,,symposium_speech,5,13,0.417,107,46,0.54507184,0.55395687,0.81085527,0.047481924,4.347826,0.48715842,0.51016986,0.5707237,0.00960812,0.0,0.4787019,0.47359014,0.54769737,0.007257253,0.0,0.5519503,0.51878977,0.93914473,0.0785104,0.0,0.59356976,0.58411634,0.98519737,0.13405272,6.521739,0.4897555,0.46383953,0.44572368,-0.007797569,4.347826,0.54145724,0.49560624,0.6924342,0.025805354,0.0,0.54029447,0.53358674,0.58388156,0.00976944,0.0,0.42563152,0.43301547,0.37993422,-0.012885541,0.44921964,0.444288,0.31414473,-0.027704358,democracy_institutions,0.046052635,0.0006202513,0.20850109,0.00091461366,0.2923932,0.7777222,0.4473396,0.5633779,0.00062511285,0.00053682737,0.012241275,democracy_institutions
erdogan1_c006,erdogan1,erdogan,tr,,symposium_speech,6,13,0.5,117,49,0.5416411,0.4916436,0.78125,0.0440512,4.0816326,0.5059899,0.513793,0.71875,0.028439611,0.0,0.48925632,0.47018206,0.63980263,0.017811686,2.0408163,0.53749824,0.4984153,0.90296054,0.06405836,0.0,0.6043538,0.5842454,0.99835527,0.14483675,6.122449,0.51089776,0.44806594,0.61019737,0.013344675,0.0,0.55169284,0.49742916,0.7450658,0.03604096,0.0,0.55159456,0.5037293,0.65296054,0.021069527,0.0,0.44470426,0.4494577,0.5509868,0.0061872005,0.48885328,0.47520632,0.56414473,0.011929274,democracy_institutions,0.09539473,0.98395544,0.22175993,0.0002965355,0.8958876,0.9978427,0.99941045,0.8466094,0.00041894842,0.0049822694,0.21157971,social_solidarity
erdogan1_c007,erdogan1,erdogan,tr,,symposium_speech,7,13,0.583,92,44,0.47892535,0.44996768,0.37006578,-0.018664569,2.2727273,0.50164115,0.48893717,0.6825658,0.024090856,0.0,0.48858282,0.4606336,0.6332237,0.017138183,0.0,0.48852962,0.47989917,0.6332237,0.01508975,0.0,0.53937614,0.53697264,0.93585527,0.07985911,9.090909,0.4389117,0.39786792,0.16940789,-0.058641374,0.0,0.516556,0.47508538,0.48848686,0.00090414286,4.5454545,0.5610889,0.5603351,0.6957237,0.030563891,0.0,0.4728691,0.4567235,0.7680921,0.034352034,0.45529056,0.42041218,0.36348686,-0.021633446,democracy_institutions,0.24013156,0.018599968,0.07091265,0.00047193223,0.9603798,0.8433798,0.0606962,0.67864645,0.00025216967,0.0026061658,0.00030061638,foreign_policy
erdogan1_c008,erdogan1,erdogan,tr,,symposium_speech,8,13,0.667,93,33,0.5147293,0.49920475,0.60361844,0.017139405,3.030303,0.47261846,0.47045425,0.4786184,-0.0049318373,0.0,0.4654179,0.42163134,0.46546054,-0.006026745,3.030303,0.47401598,0.45487747,0.5082237,0.0005761087,0.0,0.51565844,0.51016563,0.8667763,0.056141406,12.121212,0.4572189,0.42536438,0.24177632,-0.040334195,3.030303,0.46969968,0.45677364,0.20888157,-0.0459522,0.0,0.5010778,0.46795216,0.31414473,-0.029447258,0.0,0.4542806,0.45264494,0.62664473,0.015763551,0.4577666,0.4494997,0.37993422,-0.01915741,democracy_institutions,0.26315784,0.1407648,0.060321487,0.0089334035,0.34356198,0.88388896,0.7681576,0.4444442,0.010293274,0.0042563486,0.0024919678,democracy_institutions
erdogan1_c009,erdogan1,erdogan,tr,,symposium_speech,9,13,0.75,91,44,0.5576763,0.5131071,0.8667763,0.0600864,9.090909,0.44064313,0.43026757,0.23519737,-0.036907166,0.0,0.46192083,0.41399792,0.44901314,-0.009523809,0.0,0.45638782,0.43078226,0.34375,-0.017052054,0.0,0.48753047,0.5026064,0.7417763,0.028013438,6.818182,0.47418678,0.41992772,0.3536184,-0.023366302,0.0,0.4758598,0.40675914,0.23519737,-0.03979209,0.0,0.53716147,0.49431568,0.5542763,0.0066364408,0.0,0.40248185,0.40823698,0.22532895,-0.03603521,0.45746818,0.44478565,0.37006578,-0.01945582,national_identity,0.125,0.9964619,0.7874412,0.0076436205,0.9144819,0.92730576,0.99504673,0.8555497,0.26836583,0.0016198055,0.11987101,national_identity
