chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,top_theme_nli
erdogan1_c000,erdogan1,erdogan,en,,symposium_speech,0,9,0.0,104,87,0.3994883,0.3994883,0.48140496,-0.0074879527,0.0,0.39346552,0.39346552,0.29545453,-0.031782627,2.2988505,0.31891996,0.31891996,0.06404959,-0.08136311,1.1494253,0.37346983,0.37346983,0.37809917,-0.021004409,0.0,0.38858873,0.38858873,0.6095041,0.009546697,0.0,0.32466048,0.32466048,0.11363637,-0.07022348,0.0,0.43770367,0.43770367,0.4235537,-0.009576023,0.0,0.310498,0.310498,0.06404959,-0.087354064,0.0,0.37293786,0.37293786,0.23347108,-0.03978893,0.34141684,0.34141684,0.13429752,-0.05853185,0.42686075,0.42686075,0.6053719,0.020487666,0.34915677,0.34915677,0.04338843,-0.10403222,0.3534249,0.3534249,0.36983472,-0.025809973,0.40466076,0.40466076,0.37396693,-0.02054122,0.33120635,0.33120635,0.030991735,-0.100164175,democracy_institutions,0.12809914,0.9054478,0.009268015,0.00096975197,0.34303218,0.0021699923,0.4790162,0.4797474,0.00019871553,0.89022267,0.05155819,0.9980563,0.00084758986,0.9383504,0.98548245,0.05242457,national_identity
erdogan1_c001,erdogan1,erdogan,en,,symposium_speech,1,9,0.125,93,73,0.3534816,0.3534816,0.20041323,-0.053494662,0.0,0.33678794,0.33678794,0.07231405,-0.08846021,1.369863,0.2975666,0.2975666,0.022727273,-0.102716476,0.0,0.3915987,0.3915987,0.4979339,-0.0028755367,2.739726,0.5000416,0.5000416,0.9855372,0.120999575,2.739726,0.3016741,0.3016741,0.04752066,-0.09320986,0.0,0.33808774,0.33808774,0.010330578,-0.109191954,0.0,0.35987043,0.35987043,0.2623967,-0.03798163,0.0,0.32572514,0.32572514,0.07644628,-0.08700165,0.3254121,0.3254121,0.08057851,-0.07453659,0.36096078,0.36096078,0.2376033,-0.045412302,0.31807005,0.31807005,0.022727273,-0.13511893,0.35538214,0.35538214,0.38636363,-0.023852736,0.33205688,0.33205688,0.08884297,-0.0931451,0.30739266,0.30739266,0.010330578,-0.12397787,democracy_institutions,0.48760328,0.54737335,0.03767939,8.36595e-05,0.8129416,0.9953273,0.047958102,0.26137805,9.780648e-05,0.00061542727,0.0008492456,0.99864364,0.00035075273,0.7367796,0.050564542,0.88378876,democracy_institutions
erdogan1_c002,erdogan1,erdogan,en,,symposium_speech,2,9,0.25,102,91,0.35958067,0.35958067,0.22933884,-0.047395587,1.0989012,0.39096937,0.39096937,0.27066115,-0.03427878,0.0,0.4220466,0.4220466,0.6838843,0.021763533,1.0989012,0.3805902,0.3805902,0.4070248,-0.013884038,0.0,0.48151875,0.48151875,0.96900827,0.102476716,0.0,0.35210913,0.35210913,0.2376033,-0.042774826,0.0,0.45089933,0.45089933,0.51033056,0.003619641,1.0989012,0.39238918,0.39238918,0.47727272,-0.005462885,0.0,0.41463408,0.41463408,0.50206614,0.001907289,0.35642773,0.35642773,0.20041323,-0.043520957,0.38630968,0.38630968,0.39049587,-0.0200634,0.41317117,0.41317117,0.28305784,-0.040017813,0.37829667,0.37829667,0.53099173,-0.0009382069,0.33753234,0.33753234,0.09297521,-0.08766964,0.40769506,0.40769506,0.3161157,-0.023675472,democracy_institutions,0.28512394,0.70793504,0.004792317,0.0042028804,0.8452412,0.8495036,0.40774608,0.9687381,0.00019373451,0.00045209238,0.005911069,0.8025168,0.99788016,0.98854727,0.06375871,0.9498092,crisis_resilience
erdogan1_c003,erdogan1,erdogan,en,,symposium_speech,3,9,0.375,152,128,0.37919605,0.37919605,0.34504133,-0.027780205,1.5625,0.3566534,0.3566534,0.12603305,-0.068594754,0.0,0.32882154,0.32882154,0.09710744,-0.07146153,0.0,0.35215503,0.35215503,0.20454545,-0.04231921,0.0,0.4387046,0.4387046,0.8822314,0.05966258,0.78125,0.30997854,0.30997854,0.06818182,-0.084905416,0.78125,0.38524577,0.38524577,0.11776859,-0.06203392,0.0,0.3853648,0.3853648,0.4359504,-0.0124872625,0.0,0.36400217,0.36400217,0.19214876,-0.04872462,0.3480827,0.3480827,0.1714876,-0.051865995,0.38066503,0.38066503,0.36157024,-0.02570805,0.3915084,0.3915084,0.17975207,-0.061680585,0.35051775,0.35051775,0.3285124,-0.02871713,0.320682,0.320682,0.04752066,-0.10451999,0.3534844,0.3534844,0.055785123,-0.077886134,democracy_institutions,0.44628102,0.8945594,0.021044564,0.0011786722,0.6265241,0.5480689,0.4764579,0.6477704,0.0013723688,0.0010505168,0.49346963,0.97754294,0.007922628,0.12543988,0.6778473,0.037082024,national_identity
erdogan1_c004,erdogan1,erdogan,en,,symposium_speech,4,9,0.5,96,88,0.33132446,0.33132446,0.11363637,-0.075651795,2.2727273,0.39687744,0.39687744,0.31198347,-0.028370708,0.0,0.33562273,0.33562273,0.11776859,-0.06466034,0.0,0.35175315,0.35175315,0.19628099,-0.042721093,0.0,0.48331237,0.48331237,0.9731405,0.10427034,1.1363636,0.3256719,0.3256719,0.12190083,-0.06921205,1.1363636,0.40731138,0.40731138,0.20041323,-0.03996831,0.0,0.32887197,0.32887197,0.10950413,-0.0689801,0.0,0.37200135,0.37200135,0.22520661,-0.04072544,0.33391103,0.33391103,0.10123967,-0.066037655,0.3061146,0.3061146,0.059917357,-0.10025847,0.34593326,0.34593326,0.035123967,-0.10725573,0.35255688,0.35255688,0.35743803,-0.026677996,0.31308582,0.31308582,0.0392562,-0.11211616,0.37211436,0.37211436,0.11363637,-0.059256166,democracy_institutions,0.661157,0.97764987,0.0012448432,0.0003150387,0.93987197,0.9945519,0.9911868,0.4829168,0.0002617008,0.0006667022,0.06681232,0.34834027,0.984276,0.87525487,0.26090702,0.99937123,democracy_institutions
erdogan1_c005,erdogan1,erdogan,en,,symposium_speech,5,9,0.625,96,78,0.31059718,0.31059718,0.051652893,-0.09637907,1.2820513,0.36239427,0.36239427,0.15082644,-0.06285387,0.0,0.315458,0.315458,0.04752066,-0.08482507,0.0,0.3486429,0.3486429,0.17561984,-0.045831352,0.0,0.44257668,0.44257668,0.8987603,0.06353465,2.5641026,0.30213454,0.30213454,0.051652893,-0.09274942,0.0,0.37258,0.37258,0.08471075,-0.0746997,0.0,0.37228915,0.37228915,0.34504133,-0.025562912,0.0,0.38821232,0.38821232,0.33677685,-0.024514467,0.3415899,0.3415899,0.13842975,-0.05835879,0.33174568,0.33174568,0.13429752,-0.0746274,0.3813662,0.3813662,0.13842975,-0.07182279,0.3532372,0.3532372,0.36570248,-0.025997669,0.32451543,0.32451543,0.06818182,-0.10068655,0.35665357,0.35665357,0.059917357,-0.074716955,democracy_institutions,0.553719,0.077762425,0.18297236,0.0009290033,0.9379822,0.9692224,0.012722707,0.40822467,9.685608e-05,0.00074953143,0.00042140938,0.99882597,0.004690933,0.9928509,0.0011890647,0.9325762,democracy_institutions
erdogan1_c006,erdogan1,erdogan,en,,symposium_speech,6,9,0.75,106,88,0.39703298,0.39703298,0.4607438,-0.009943277,1.1363636,0.37216955,0.37216955,0.19214876,-0.05307859,0.0,0.34068394,0.34068394,0.14256199,-0.05959913,0.0,0.3520373,0.3520373,0.20041323,-0.042436928,0.0,0.4665076,0.4665076,0.94008267,0.087465584,1.1363636,0.38323438,0.38323438,0.4235537,-0.011649579,0.0,0.3936941,0.3936941,0.14669421,-0.05358559,0.0,0.37564415,0.37564415,0.37809917,-0.022207916,0.0,0.38363105,0.38363105,0.29545453,-0.02909574,0.39242446,0.39242446,0.4359504,-0.007524222,0.3387099,0.3387099,0.15082644,-0.06766319,0.3957667,0.3957667,0.19214876,-0.05742228,0.37253472,0.37253472,0.49380165,-0.006700158,0.38052613,0.38052613,0.2376033,-0.044675857,0.41611147,0.41611147,0.37396693,-0.015259057,democracy_institutions,0.47933885,0.78282857,0.07863355,0.00049264234,0.5239075,0.91000706,0.9301416,0.23185325,0.00012053648,0.00035976942,0.046464663,0.047602657,0.0005647764,0.760584,0.16221407,0.25902826,social_solidarity
erdogan1_c007,erdogan1,erdogan,en,,symposium_speech,7,9,0.875,84,74,0.43724513,0.43724513,0.6714876,0.030268878,5.4054055,0.3731727,0.3731727,0.20041323,-0.052075446,0.0,0.3171829,0.3171829,0.055785123,-0.08310017,0.0,0.36916053,0.36916053,0.33677685,-0.025313705,0.0,0.4711497,0.4711497,0.95247936,0.09210768,0.0,0.3322824,0.3322824,0.14256199,-0.06260157,0.0,0.36034578,0.36034578,0.0392562,-0.08693391,0.0,0.32388908,0.32388908,0.10123967,-0.07396299,0.0,0.35936043,0.35936043,0.17975207,-0.053366363,0.3437357,0.3437357,0.14669421,-0.05621299,0.3224791,0.3224791,0.12190083,-0.083893985,0.36897245,0.36897245,0.08057851,-0.084216535,0.38717198,0.38717198,0.588843,0.0079371035,0.3504009,0.3504009,0.1301653,-0.07480109,0.38831416,0.38831416,0.20041323,-0.04305637,democracy_institutions,0.28099173,0.9576556,0.640411,0.050424073,0.7801604,0.9967713,0.86861795,0.09773432,0.08472911,0.0033050785,0.5210446,0.5004883,0.87321484,0.25321415,0.00043990323,0.99880046,democracy_institutions
erdogan1_c008,erdogan1,erdogan,en,,symposium_speech,8,9,1.0,144,118,0.30970794,0.30970794,0.04752066,-0.09726831,3.3898306,0.31401756,0.31401756,0.035123967,-0.11123058,0.0,0.26559758,0.26559758,0.0020661156,-0.13468549,0.0,0.3220954,0.3220954,0.07231405,-0.072378844,0.0,0.39990813,0.39990813,0.66322315,0.020866096,0.0,0.2553621,0.2553621,0.018595042,-0.13952187,0.0,0.29249895,0.29249895,0.0020661156,-0.15478075,0.0,0.3136927,0.3136927,0.07231405,-0.084159374,0.0,0.2959532,0.2959532,0.035123967,-0.116773576,0.2791077,0.2791077,0.018595042,-0.120841,0.29254913,0.29254913,0.022727273,-0.11382395,0.343135,0.343135,0.030991735,-0.11005399,0.3331055,0.3331055,0.22520661,-0.046129376,0.300929,0.300929,0.018595042,-0.12427297,0.37865686,0.37865686,0.15082644,-0.052713662,democracy_institutions,0.5909091,0.99941504,0.3369853,0.055624023,0.95756644,0.99925923,0.96864927,0.09640763,0.2726051,0.002662613,0.72674084,0.3559987,0.97969675,0.48096627,0.78711414,0.9984299,national_identity
erdogan2022_c000,erdogan2022,erdogan,en,2022-12-31,new_year_message,0,13,0.0,83,68,0.4535513,0.4535513,0.7541322,0.04657504,1.4705882,0.42609507,0.42609507,0.51859504,0.0008469224,1.4705882,0.36015555,0.36015555,0.25,-0.040127516,0.0,0.3837508,0.3837508,0.4235537,-0.010723442,0.0,0.35107553,0.35107553,0.29132232,-0.0279665,0.0,0.38875744,0.38875744,0.48140496,-0.006126523,0.0,0.45801944,0.45801944,0.572314,0.010739744,0.0,0.40352067,0.40352067,0.54752064,0.0056686103,0.0,0.40801024,0.40801024,0.45247933,-0.0047165453,0.39046186,0.39046186,0.4194215,-0.009486824,0.5086287,0.5086287,0.94008267,0.10225564,0.48958373,0.48958373,0.696281,0.036394745,0.36200923,0.36200923,0.4194215,-0.017225653,0.4679438,0.4679438,0.7541322,0.042741805,0.42334795,0.42334795,0.3946281,-0.008022577,national_identity,0.18181819,0.9689491,0.063221596,0.00090750254,0.5144003,0.2697342,0.9812928,0.18531974,0.005119677,0.05432402,0.07091265,0.9807289,0.028007522,0.28608197,0.6737286,0.9877351,social_solidarity
