chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,top_theme_nli
erdogan1_c000,erdogan1,erdogan,en,,symposium_speech,0,9,0.0,104,87,0.34050032,0.34050032,0.7458678,0.054967016,0.0,0.25226206,0.25226206,0.4235537,-0.020553052,2.2988505,0.1588223,0.1588223,0.07644628,-0.09851882,1.1494253,0.24154362,0.24154362,0.39876032,-0.020907491,0.0,0.23190686,0.23190686,0.51033056,-0.013705254,0.0,0.20387283,0.20387283,0.12603305,-0.098003715,0.0,0.3770991,0.3770991,0.82438016,0.055641294,0.0,0.20444685,0.20444685,0.1301653,-0.08758178,0.0,0.23867817,0.23867817,0.3822314,-0.026102558,0.25765258,0.25765258,0.1590909,-0.07640135,0.38419226,0.38419226,0.8904959,0.085400224,0.21757624,0.21757624,0.08057851,-0.11590862,0.23028502,0.23028502,0.29545453,-0.041366994,0.27240413,0.27240413,0.37396693,-0.047608465,0.22660902,0.22660902,0.09297521,-0.10088557,crisis_resilience,0.07851237,0.9054478,0.009268015,0.00096975197,0.34303218,0.0021699923,0.4790162,0.4797474,0.00019871553,0.89022267,0.05155819,0.9980563,0.00084758986,0.9383504,0.98548245,0.05242457,national_identity
erdogan1_c001,erdogan1,erdogan,en,,symposium_speech,1,9,0.125,93,73,0.20550534,0.20550534,0.18801653,-0.08002797,0.0,0.18247716,0.18247716,0.08471075,-0.09033795,1.369863,0.11682295,0.11682295,0.010330578,-0.14051816,0.0,0.23848559,0.23848559,0.36157024,-0.023965523,2.739726,0.38477692,0.38477692,0.9483471,0.1391648,2.739726,0.13610695,0.13610695,0.022727273,-0.16576959,0.0,0.2257945,0.2257945,0.051652893,-0.09566331,0.0,0.26353446,0.26353446,0.39876032,-0.02849418,0.0,0.15816167,0.15816167,0.055785123,-0.10661906,0.20755637,0.20755637,0.030991735,-0.12649757,0.27261636,0.27261636,0.36570248,-0.026175678,0.22547159,0.22547159,0.10123967,-0.10801327,0.2003919,0.2003919,0.16322315,-0.07126011,0.1928529,0.1928529,0.07231405,-0.1271597,0.24329594,0.24329594,0.1301653,-0.08419865,democracy_institutions,0.5495868,0.54737335,0.03767939,8.36595e-05,0.8129416,0.9953273,0.047958102,0.26137805,9.780648e-05,0.00061542727,0.0008492456,0.99864364,0.00035075273,0.7367796,0.050564542,0.88378876,democracy_institutions
erdogan1_c002,erdogan1,erdogan,en,,symposium_speech,2,9,0.25,102,91,0.20925263,0.20925263,0.20454545,-0.07628068,1.0989012,0.23774163,0.23774163,0.3533058,-0.035073474,0.0,0.27777886,0.27777886,0.67561984,0.020437747,1.0989012,0.241014,0.241014,0.39049587,-0.021437109,0.0,0.36969298,0.36969298,0.927686,0.12408087,0.0,0.25065154,0.25065154,0.30785123,-0.051225007,0.0,0.33599696,0.33599696,0.6053719,0.014539152,1.0989012,0.28509986,0.28509986,0.53099173,-0.0069287717,0.0,0.28898266,0.28898266,0.6219008,0.02420193,0.2724833,0.2724833,0.2376033,-0.061570644,0.2519244,0.2519244,0.27066115,-0.04686764,0.29966098,0.29966098,0.37396693,-0.033823878,0.24453054,0.24453054,0.38636363,-0.02712147,0.20639205,0.20639205,0.12603305,-0.11362055,0.36213255,0.36213255,0.67561984,0.034637958,democracy_institutions,0.25206614,0.70793504,0.004792317,0.0042028804,0.8452412,0.8495036,0.40774608,0.9687381,0.00019373451,0.00045209238,0.005911069,0.8025168,0.99788016,0.98854727,0.06375871,0.9498092,crisis_resilience
erdogan1_c003,erdogan1,erdogan,en,,symposium_speech,3,9,0.375,152,128,0.30012134,0.30012134,0.588843,0.014588028,1.5625,0.24870026,0.24870026,0.411157,-0.024114847,0.0,0.1899246,0.1899246,0.20041323,-0.06741652,0.0,0.27165413,0.27165413,0.6012397,0.009203017,0.0,0.3827751,0.3827751,0.94008267,0.13716298,0.78125,0.22363937,0.22363937,0.21280992,-0.078237176,0.78125,0.3245206,0.3245206,0.5516529,0.0030627847,0.0,0.32900473,0.32900473,0.7128099,0.0369761,0.0,0.29311186,0.29311186,0.6301653,0.02833113,0.27717817,0.27717817,0.25,-0.056875765,0.3402985,0.3402985,0.7582645,0.04150647,0.3091343,0.3091343,0.4070248,-0.024350554,0.28037792,0.28037792,0.5764463,0.008725911,0.22882172,0.22882172,0.17975207,-0.091190875,0.30587423,0.30587423,0.39049587,-0.021620363,democracy_institutions,0.22727275,0.8945594,0.021044564,0.0011786722,0.6265241,0.5480689,0.4764579,0.6477704,0.0013723688,0.0010505168,0.49346963,0.97754294,0.007922628,0.12543988,0.6778473,0.037082024,national_identity
erdogan1_c004,erdogan1,erdogan,en,,symposium_speech,4,9,0.5,96,88,0.2414775,0.2414775,0.36157024,-0.044055805,2.2727273,0.26852083,0.26852083,0.5268595,-0.0042942762,0.0,0.24939719,0.24939719,0.5268595,-0.007943928,0.0,0.23348415,0.23348415,0.32438016,-0.028966963,0.0,0.50471836,0.50471836,0.99793386,0.25910625,1.1363636,0.28707278,0.28707278,0.44421488,-0.014803767,1.1363636,0.35840818,0.35840818,0.7376033,0.03695038,0.0,0.28322577,0.28322577,0.51859504,-0.008802861,0.0,0.2388024,0.2388024,0.38636363,-0.025978327,0.2872165,0.2872165,0.30785123,-0.04683742,0.27687883,0.27687883,0.40289256,-0.0219132,0.29396856,0.29396856,0.33677685,-0.0395163,0.26789933,0.26789933,0.51033056,-0.0037526786,0.2736271,0.2736271,0.37809917,-0.046385497,0.36030626,0.36030626,0.6714876,0.03281167,democracy_institutions,0.26033056,0.97764987,0.0012448432,0.0003150387,0.93987197,0.9945519,0.9911868,0.4829168,0.0002617008,0.0006667022,0.06681232,0.34834027,0.984276,0.87525487,0.26090702,0.99937123,democracy_institutions
erdogan1_c005,erdogan1,erdogan,en,,symposium_speech,5,9,0.625,96,78,0.19547963,0.19547963,0.1590909,-0.09005368,1.2820513,0.1996617,0.1996617,0.1590909,-0.07315341,0.0,0.17826766,0.17826766,0.13429752,-0.07907346,0.0,0.2642043,0.2642043,0.55991733,0.0017531812,0.0,0.39441466,0.39441466,0.9607438,0.14880255,2.5641026,0.18671635,0.18671635,0.08057851,-0.1151602,0.0,0.24500018,0.24500018,0.10123967,-0.07645762,0.0,0.3444807,0.3444807,0.7458678,0.052452058,0.0,0.27377814,0.27377814,0.5805785,0.008997411,0.22731748,0.22731748,0.07231405,-0.10673645,0.27831775,0.27831775,0.42768595,-0.020474285,0.33899337,0.33899337,0.54752064,0.0055085123,0.24809563,0.24809563,0.3946281,-0.023556381,0.20185123,0.20185123,0.1053719,-0.118161365,0.3191958,0.3191958,0.44834712,-0.0082987845,democracy_institutions,0.214876,0.077762425,0.18297236,0.0009290033,0.9379822,0.9692224,0.012722707,0.40822467,9.685608e-05,0.00074953143,0.00042140938,0.99882597,0.004690933,0.9928509,0.0011890647,0.9325762,democracy_institutions
erdogan1_c006,erdogan1,erdogan,en,,symposium_speech,6,9,0.75,106,88,0.27495107,0.27495107,0.5144628,-0.010582238,1.1363636,0.22461872,0.22461872,0.26652893,-0.04819639,0.0,0.18236388,0.18236388,0.16735537,-0.074977234,0.0,0.19483492,0.19483492,0.16322315,-0.067616194,0.0,0.38425922,0.38425922,0.9442149,0.13864711,1.1363636,0.2994457,0.2994457,0.4896694,-0.0024308562,0.0,0.249634,0.249634,0.1301653,-0.071823806,0.0,0.32077342,0.32077342,0.696281,0.028744787,0.0,0.2695372,0.2695372,0.53512394,0.0047564805,0.29798156,0.29798156,0.3409091,-0.036072373,0.24897505,0.24897505,0.25826445,-0.04981698,0.32959378,0.32959378,0.51859504,-0.0038910806,0.28148803,0.28148803,0.5929752,0.009836018,0.26347253,0.26347253,0.32024795,-0.056540072,0.37995595,0.37995595,0.7582645,0.052461356,democracy_institutions,0.24793386,0.78282857,0.07863355,0.00049264234,0.5239075,0.91000706,0.9301416,0.23185325,0.00012053648,0.00035976942,0.046464663,0.047602657,0.0005647764,0.760584,0.16221407,0.25902826,social_solidarity
erdogan1_c007,erdogan1,erdogan,en,,symposium_speech,7,9,0.875,84,74,0.31475508,0.31475508,0.65495867,0.029221773,5.4054055,0.23996046,0.23996046,0.37396693,-0.032854646,0.0,0.21128613,0.21128613,0.29545453,-0.04605499,0.0,0.26573431,0.26573431,0.572314,0.0032832026,0.0,0.4294183,0.4294183,0.97727275,0.18380618,0.0,0.28243554,0.28243554,0.40289256,-0.019441009,0.0,0.29504868,0.29504868,0.3285124,-0.02640912,0.0,0.2471259,0.2471259,0.31198347,-0.044902742,0.0,0.23385786,0.23385786,0.36157024,-0.030922875,0.25291055,0.25291055,0.15082644,-0.08114338,0.22216743,0.22216743,0.13429752,-0.0766246,0.27234972,0.27234972,0.25,-0.061135143,0.3218756,0.3218756,0.7582645,0.05022359,0.31561017,0.31561017,0.5392562,-0.004402429,0.37421298,0.37421298,0.7252066,0.04671839,democracy_institutions,0.32231408,0.9576556,0.640411,0.050424073,0.7801604,0.9967713,0.86861795,0.09773432,0.08472911,0.0033050785,0.5210446,0.5004883,0.87321484,0.25321415,0.00043990323,0.99880046,democracy_institutions
erdogan1_c008,erdogan1,erdogan,en,,symposium_speech,8,9,1.0,144,118,0.264956,0.264956,0.46487603,-0.020577312,3.3898306,0.2432153,0.2432153,0.3946281,-0.029599816,0.0,0.17248166,0.17248166,0.11363637,-0.08485946,0.0,0.28530902,0.28530902,0.67561984,0.022857904,0.0,0.37921017,0.37921017,0.9359504,0.13359806,0.0,0.21483682,0.21483682,0.17975207,-0.087039724,0.0,0.2519211,0.2519211,0.14256199,-0.069536716,0.0,0.27666363,0.27666363,0.49380165,-0.015365005,0.0,0.22937627,0.22937627,0.33677685,-0.03540446,0.24561651,0.24561651,0.12190083,-0.08843742,0.21812315,0.21812315,0.12190083,-0.08066888,0.30228266,0.30228266,0.38636363,-0.031202197,0.28204906,0.28204906,0.6053719,0.010397047,0.24447954,0.24447954,0.23347108,-0.07553306,0.38249654,0.38249654,0.7747934,0.055001944,democracy_institutions,0.26033056,0.99941504,0.3369853,0.055624023,0.95756644,0.99925923,0.96864927,0.09640763,0.2726051,0.002662613,0.72674084,0.3559987,0.97969675,0.48096627,0.78711414,0.9984299,national_identity
erdogan2022_c000,erdogan2022,erdogan,en,2022-12-31,new_year_message,0,13,0.0,83,68,0.31712264,0.31712264,0.6714876,0.03158933,1.4705882,0.20973144,0.20973144,0.20454545,-0.06308366,1.4705882,0.13446344,0.13446344,0.030991735,-0.12287767,0.0,0.23456842,0.23456842,0.33264464,-0.027882695,0.0,0.18412843,0.18412843,0.19214876,-0.06148368,0.0,0.20187536,0.20187536,0.11363637,-0.100001186,0.0,0.2554453,0.2554453,0.15495868,-0.0660125,0.0,0.24436462,0.24436462,0.29545453,-0.047664016,0.0,0.20919354,0.20919354,0.21280992,-0.055587187,0.24197224,0.24197224,0.11363637,-0.092081696,0.44226718,0.44226718,0.97727275,0.14347515,0.31871098,0.31871098,0.4731405,-0.0147738755,0.20377159,0.20377159,0.1838843,-0.06788042,0.3066734,0.3066734,0.51033056,-0.013339192,0.26885062,0.26885062,0.22520661,-0.058643967,national_identity,0.338843,0.9689491,0.063221596,0.00090750254,0.5144003,0.2697342,0.9812928,0.18531974,0.005119677,0.05432402,0.07091265,0.9807289,0.028007522,0.28608197,0.6737286,0.9877351,social_solidarity
