leader,method,rank,theme,label,value,n_speeches
erdogan,embedding_pct,1,democracy_institutions,"Democracy, Law & Institutions",0.5809,5
erdogan,embedding_pct,2,foreign_policy,Foreign Policy & Geopolitics,0.5582,5
erdogan,embedding_pct,3,security_military,Security & Military,0.4956,5
macron,embedding_pct,1,future_reform_technology,"Future, Reform & Technology",0.6894,4
macron,embedding_pct,2,economy_welfare,Economy & Welfare,0.5479,4
macron,embedding_pct,3,crisis_resilience,"Crisis, Threat & Resilience",0.5284,4
merkel,embedding_pct,1,future_reform_technology,"Future, Reform & Technology",0.6099,4
merkel,embedding_pct,2,social_solidarity,Social Solidarity & Values,0.5954,4
merkel,embedding_pct,3,democracy_institutions,"Democracy, Law & Institutions",0.5556,4
putin,embedding_pct,1,national_identity,National Identity & Unity,0.6763,4
putin,embedding_pct,2,social_solidarity,Social Solidarity & Values,0.6717,4
putin,embedding_pct,3,security_military,Security & Military,0.6062,4
trump,embedding_pct,1,economy_welfare,Economy & Welfare,0.5589,3
trump,embedding_pct,2,security_military,Security & Military,0.5342,3
trump,embedding_pct,3,national_identity,National Identity & Unity,0.4919,3
erdogan,embedding_cos,1,crisis_resilience,"Crisis, Threat & Resilience",0.4377,5
erdogan,embedding_cos,2,security_military,Security & Military,0.4256,5
erdogan,embedding_cos,3,foreign_policy,Foreign Policy & Geopolitics,0.405,5
macron,embedding_cos,1,crisis_resilience,"Crisis, Threat & Resilience",0.4512,4
macron,embedding_cos,2,future_reform_technology,"Future, Reform & Technology",0.4358,4
macron,embedding_cos,3,security_military,Security & Military,0.4116,4
merkel,embedding_cos,1,crisis_resilience,"Crisis, Threat & Resilience",0.4372,4
merkel,embedding_cos,2,future_reform_technology,"Future, Reform & Technology",0.4211,4
merkel,embedding_cos,3,social_solidarity,Social Solidarity & Values,0.4136,4
putin,embedding_cos,1,national_identity,National Identity & Unity,0.4466,4
putin,embedding_cos,2,security_military,Security & Military,0.4448,4
putin,embedding_cos,3,crisis_resilience,"Crisis, Threat & Resilience",0.4418,4
trump,embedding_cos,1,security_military,Security & Military,0.4315,3
trump,embedding_cos,2,crisis_resilience,"Crisis, Threat & Resilience",0.43,3
trump,embedding_cos,3,national_identity,National Identity & Unity,0.4086,3
erdogan,embedding_cos_en,1,crisis_resilience,"Crisis, Threat & Resilience",0.4377,5
erdogan,embedding_cos_en,2,security_military,Security & Military,0.4256,5
erdogan,embedding_cos_en,3,foreign_policy,Foreign Policy & Geopolitics,0.405,5
macron,embedding_cos_en,1,crisis_resilience,"Crisis, Threat & Resilience",0.4512,4
macron,embedding_cos_en,2,future_reform_technology,"Future, Reform & Technology",0.4358,4
macron,embedding_cos_en,3,security_military,Security & Military,0.4116,4
merkel,embedding_cos_en,1,crisis_resilience,"Crisis, Threat & Resilience",0.4372,4
merkel,embedding_cos_en,2,future_reform_technology,"Future, Reform & Technology",0.4211,4
merkel,embedding_cos_en,3,social_solidarity,Social Solidarity & Values,0.4136,4
putin,embedding_cos_en,1,national_identity,National Identity & Unity,0.4466,4
putin,embedding_cos_en,2,security_military,Security & Military,0.4448,4
putin,embedding_cos_en,3,crisis_resilience,"Crisis, Threat & Resilience",0.4418,4
trump,embedding_cos_en,1,security_military,Security & Military,0.4315,3
trump,embedding_cos_en,2,crisis_resilience,"Crisis, Threat & Resilience",0.43,3
trump,embedding_cos_en,3,national_identity,National Identity & Unity,0.4086,3
erdogan,nli,1,national_identity,National Identity & Unity,0.8477,5
erdogan,nli,2,social_solidarity,Social Solidarity & Values,0.7423,5
erdogan,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.7184,5
macron,nli,1,national_identity,National Identity & Unity,0.8364,4
macron,nli,2,social_solidarity,Social Solidarity & Values,0.8228,4
macron,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.6835,4
merkel,nli,1,social_solidarity,Social Solidarity & Values,0.8457,4
merkel,nli,2,national_identity,National Identity & Unity,0.5926,4
merkel,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.5865,4
putin,nli,1,social_solidarity,Social Solidarity & Values,0.8117,4
putin,nli,2,national_identity,National Identity & Unity,0.7781,4
putin,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.5266,4
trump,nli,1,social_solidarity,Social Solidarity & Values,0.8679,3
trump,nli,2,national_identity,National Identity & Unity,0.8638,3
trump,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.6797,3
