leader,method,rank,theme,label,value,n_speeches
erdogan,embedding_pct,1,democracy_institutions,"Democracy, Law & Institutions",0.5781,5
erdogan,embedding_pct,2,foreign_policy,Foreign Policy & Geopolitics,0.5563,5
erdogan,embedding_pct,3,security_military,Security & Military,0.4853,5
macron,embedding_pct,1,future_reform_technology,"Future, Reform & Technology",0.6922,4
macron,embedding_pct,2,economy_welfare,Economy & Welfare,0.5503,4
macron,embedding_pct,3,crisis_resilience,"Crisis, Threat & Resilience",0.5249,4
merkel,embedding_pct,1,future_reform_technology,"Future, Reform & Technology",0.5815,4
merkel,embedding_pct,2,social_solidarity,Social Solidarity & Values,0.57,4
merkel,embedding_pct,3,democracy_institutions,"Democracy, Law & Institutions",0.543,4
putin,embedding_pct,1,social_solidarity,Social Solidarity & Values,0.7337,4
putin,embedding_pct,2,national_identity,National Identity & Unity,0.7263,4
putin,embedding_pct,3,security_military,Security & Military,0.6301,4
trump,embedding_pct,1,security_military,Security & Military,0.6711,3
trump,embedding_pct,2,economy_welfare,Economy & Welfare,0.5839,3
trump,embedding_pct,3,national_identity,National Identity & Unity,0.5441,3
erdogan,embedding_cos,1,crisis_resilience,"Crisis, Threat & Resilience",0.4392,5
erdogan,embedding_cos,2,security_military,Security & Military,0.4252,5
erdogan,embedding_cos,3,foreign_policy,Foreign Policy & Geopolitics,0.4053,5
macron,embedding_cos,1,crisis_resilience,"Crisis, Threat & Resilience",0.4525,4
macron,embedding_cos,2,future_reform_technology,"Future, Reform & Technology",0.4364,4
macron,embedding_cos,3,security_military,Security & Military,0.4118,4
merkel,embedding_cos,1,crisis_resilience,"Crisis, Threat & Resilience",0.4327,4
merkel,embedding_cos,2,future_reform_technology,"Future, Reform & Technology",0.4151,4
merkel,embedding_cos,3,social_solidarity,Social Solidarity & Values,0.4091,4
putin,embedding_cos,1,national_identity,National Identity & Unity,0.4581,4
putin,embedding_cos,2,security_military,Security & Military,0.45,4
putin,embedding_cos,3,crisis_resilience,"Crisis, Threat & Resilience",0.4488,4
trump,embedding_cos,1,security_military,Security & Military,0.458,3
trump,embedding_cos,2,crisis_resilience,"Crisis, Threat & Resilience",0.4514,3
trump,embedding_cos,3,economy_welfare,Economy & Welfare,0.4204,3
erdogan,embedding_cos_en,1,crisis_resilience,"Crisis, Threat & Resilience",0.4392,5
erdogan,embedding_cos_en,2,security_military,Security & Military,0.4252,5
erdogan,embedding_cos_en,3,foreign_policy,Foreign Policy & Geopolitics,0.4053,5
macron,embedding_cos_en,1,crisis_resilience,"Crisis, Threat & Resilience",0.4525,4
macron,embedding_cos_en,2,future_reform_technology,"Future, Reform & Technology",0.4364,4
macron,embedding_cos_en,3,security_military,Security & Military,0.4118,4
merkel,embedding_cos_en,1,crisis_resilience,"Crisis, Threat & Resilience",0.4327,4
merkel,embedding_cos_en,2,future_reform_technology,"Future, Reform & Technology",0.4151,4
merkel,embedding_cos_en,3,social_solidarity,Social Solidarity & Values,0.4091,4
putin,embedding_cos_en,1,national_identity,National Identity & Unity,0.4581,4
putin,embedding_cos_en,2,security_military,Security & Military,0.45,4
putin,embedding_cos_en,3,crisis_resilience,"Crisis, Threat & Resilience",0.4488,4
trump,embedding_cos_en,1,security_military,Security & Military,0.458,3
trump,embedding_cos_en,2,crisis_resilience,"Crisis, Threat & Resilience",0.4514,3
trump,embedding_cos_en,3,economy_welfare,Economy & Welfare,0.4204,3
erdogan,nli,1,national_identity,National Identity & Unity,0.8456,5
erdogan,nli,2,social_solidarity,Social Solidarity & Values,0.7454,5
erdogan,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.7054,5
macron,nli,1,national_identity,National Identity & Unity,0.8385,4
macron,nli,2,social_solidarity,Social Solidarity & Values,0.8224,4
macron,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.6505,4
merkel,nli,1,social_solidarity,Social Solidarity & Values,0.8328,4
merkel,nli,2,foreign_policy,Foreign Policy & Geopolitics,0.6559,4
merkel,nli,3,national_identity,National Identity & Unity,0.6252,4
putin,nli,1,social_solidarity,Social Solidarity & Values,0.8631,4
putin,nli,2,national_identity,National Identity & Unity,0.7735,4
putin,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.5286,4
trump,nli,1,national_identity,National Identity & Unity,0.9114,3
trump,nli,2,social_solidarity,Social Solidarity & Values,0.8667,3
trump,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.7799,3
