leader,method,rank,theme,label,value,n_speeches
erdogan,embedding_pct,1,foreign_policy,Foreign Policy & Geopolitics,0.4968,5
erdogan,embedding_pct,2,democracy_institutions,"Democracy, Law & Institutions",0.4516,5
erdogan,embedding_pct,3,future_reform_technology,"Future, Reform & Technology",0.4306,5
macron,embedding_pct,1,future_reform_technology,"Future, Reform & Technology",0.6204,4
macron,embedding_pct,2,democracy_institutions,"Democracy, Law & Institutions",0.5716,4
macron,embedding_pct,3,economy_welfare,Economy & Welfare,0.5431,4
merkel,embedding_pct,1,social_solidarity,Social Solidarity & Values,0.5736,4
merkel,embedding_pct,2,democracy_institutions,"Democracy, Law & Institutions",0.548,4
merkel,embedding_pct,3,future_reform_technology,"Future, Reform & Technology",0.5308,4
putin,embedding_pct,1,social_solidarity,Social Solidarity & Values,0.7296,4
putin,embedding_pct,2,national_identity,National Identity & Unity,0.7139,4
putin,embedding_pct,3,security_military,Security & Military,0.5949,4
trump,embedding_pct,1,economy_welfare,Economy & Welfare,0.7101,3
trump,embedding_pct,2,security_military,Security & Military,0.6683,3
trump,embedding_pct,3,national_identity,National Identity & Unity,0.6305,3
erdogan,embedding_cos,1,crisis_resilience,"Crisis, Threat & Resilience",0.3016,5
erdogan,embedding_cos,2,future_reform_technology,"Future, Reform & Technology",0.2721,5
erdogan,embedding_cos,3,national_identity,National Identity & Unity,0.2613,5
macron,embedding_cos,1,future_reform_technology,"Future, Reform & Technology",0.3291,4
macron,embedding_cos,2,crisis_resilience,"Crisis, Threat & Resilience",0.3266,4
macron,embedding_cos,3,social_solidarity,Social Solidarity & Values,0.287,4
merkel,embedding_cos,1,social_solidarity,Social Solidarity & Values,0.3243,4
merkel,embedding_cos,2,crisis_resilience,"Crisis, Threat & Resilience",0.3051,4
merkel,embedding_cos,3,future_reform_technology,"Future, Reform & Technology",0.3042,4
putin,embedding_cos,1,social_solidarity,Social Solidarity & Values,0.3675,4
putin,embedding_cos,2,national_identity,National Identity & Unity,0.3552,4
putin,embedding_cos,3,crisis_resilience,"Crisis, Threat & Resilience",0.321,4
trump,embedding_cos,1,social_solidarity,Social Solidarity & Values,0.3297,3
trump,embedding_cos,2,crisis_resilience,"Crisis, Threat & Resilience",0.3276,3
trump,embedding_cos,3,national_identity,National Identity & Unity,0.326,3
erdogan,embedding_cos_en,1,crisis_resilience,"Crisis, Threat & Resilience",0.3016,5
erdogan,embedding_cos_en,2,future_reform_technology,"Future, Reform & Technology",0.2721,5
erdogan,embedding_cos_en,3,national_identity,National Identity & Unity,0.2613,5
macron,embedding_cos_en,1,future_reform_technology,"Future, Reform & Technology",0.3291,4
macron,embedding_cos_en,2,crisis_resilience,"Crisis, Threat & Resilience",0.3266,4
macron,embedding_cos_en,3,social_solidarity,Social Solidarity & Values,0.287,4
merkel,embedding_cos_en,1,social_solidarity,Social Solidarity & Values,0.3243,4
merkel,embedding_cos_en,2,crisis_resilience,"Crisis, Threat & Resilience",0.3051,4
merkel,embedding_cos_en,3,future_reform_technology,"Future, Reform & Technology",0.3042,4
putin,embedding_cos_en,1,social_solidarity,Social Solidarity & Values,0.3675,4
putin,embedding_cos_en,2,national_identity,National Identity & Unity,0.3552,4
putin,embedding_cos_en,3,crisis_resilience,"Crisis, Threat & Resilience",0.321,4
trump,embedding_cos_en,1,social_solidarity,Social Solidarity & Values,0.3297,3
trump,embedding_cos_en,2,crisis_resilience,"Crisis, Threat & Resilience",0.3276,3
trump,embedding_cos_en,3,national_identity,National Identity & Unity,0.326,3
erdogan,nli,1,national_identity,National Identity & Unity,0.8477,5
erdogan,nli,2,social_solidarity,Social Solidarity & Values,0.7423,5
erdogan,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.7184,5
macron,nli,1,national_identity,National Identity & Unity,0.8364,4
macron,nli,2,social_solidarity,Social Solidarity & Values,0.8228,4
macron,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.6835,4
merkel,nli,1,social_solidarity,Social Solidarity & Values,0.8457,4
merkel,nli,2,national_identity,National Identity & Unity,0.5926,4
merkel,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.5865,4
putin,nli,1,social_solidarity,Social Solidarity & Values,0.8117,4
putin,nli,2,national_identity,National Identity & Unity,0.7781,4
putin,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.5266,4
trump,nli,1,social_solidarity,Social Solidarity & Values,0.8679,3
trump,nli,2,national_identity,National Identity & Unity,0.8638,3
trump,nli,3,foreign_policy,Foreign Policy & Geopolitics,0.6797,3
